Provider,ClaimNum,DupClaimNum,DupClaimRatio,DupClaim
PRV51443,2,0.0,0.0,no
PRV51444,4,0.0,0.0,no
PRV51446,12,0.0,0.0,no
PRV51447,16,0.0,0.0,no
PRV51448,11,2.0,0.18181818181818182,yes
PRV51449,9,0.0,0.0,no
PRV51455,9,0.0,0.0,no
PRV51456,112,4.0,0.03571428571428571,yes
PRV51460,17,0.0,0.0,no
PRV51465,1,0.0,0.0,no
PRV51466,5,0.0,0.0,no
PRV51467,7,1.0,0.14285714285714285,yes
PRV51468,15,1.0,0.06666666666666667,yes
PRV51470,3,0.0,0.0,no
PRV51471,161,7.0,0.043478260869565216,yes
PRV51474,41,0.0,0.0,no
PRV51475,11,1.0,0.09090909090909091,yes
PRV51476,3,0.0,0.0,no
PRV51479,13,0.0,0.0,no
PRV51482,11,1.0,0.09090909090909091,yes
PRV51483,6,0.0,0.0,no
PRV51484,2,0.0,0.0,no
PRV51488,3,0.0,0.0,no
PRV51490,48,0.0,0.0,no
PRV51491,8,0.0,0.0,no
PRV51492,14,1.0,0.07142857142857142,yes
PRV51495,90,4.0,0.044444444444444446,yes
PRV51497,4,0.0,0.0,no
PRV51499,2,0.0,0.0,no
PRV51501,223,11.0,0.04932735426008968,yes
PRV51507,6,0.0,0.0,no
PRV51508,12,0.0,0.0,no
PRV51514,21,0.0,0.0,no
PRV51515,5,0.0,0.0,no
PRV51516,3,1.0,0.3333333333333333,yes
PRV51518,5,0.0,0.0,no
PRV51522,12,0.0,0.0,no
PRV51523,60,3.0,0.05,yes
PRV51525,5,0.0,0.0,no
PRV51526,7,0.0,0.0,no
PRV51532,6,1.0,0.16666666666666666,yes
PRV51533,13,1.0,0.07692307692307693,yes
PRV51535,2,0.0,0.0,no
PRV51536,4,0.0,0.0,no
PRV51539,69,1.0,0.014492753623188406,yes
PRV51540,7,0.0,0.0,no
PRV51542,93,2.0,0.021505376344086023,yes
PRV51544,45,4.0,0.08888888888888889,yes
PRV51546,9,0.0,0.0,no
PRV51549,8,1.0,0.125,yes
PRV51550,16,0.0,0.0,no
PRV51551,5,0.0,0.0,no
PRV51552,10,0.0,0.0,no
PRV51553,6,0.0,0.0,no
PRV51554,1,0.0,0.0,no
PRV51556,10,0.0,0.0,no
PRV51557,1,0.0,0.0,no
PRV51558,5,0.0,0.0,no
PRV51560,200,5.0,0.025,yes
PRV51566,15,0.0,0.0,no
PRV51568,9,0.0,0.0,no
PRV51572,1,0.0,0.0,no
PRV51573,5,0.0,0.0,no
PRV51576,5,0.0,0.0,no
PRV51578,122,4.0,0.03278688524590164,yes
PRV51579,18,1.0,0.05555555555555555,yes
PRV51582,1,0.0,0.0,no
PRV51583,2,0.0,0.0,no
PRV51584,13,2.0,0.15384615384615385,yes
PRV51585,4,1.0,0.25,yes
PRV51586,6,0.0,0.0,no
PRV51588,3,0.0,0.0,no
PRV51590,81,3.0,0.037037037037037035,yes
PRV51593,12,1.0,0.08333333333333333,yes
PRV51595,1,0.0,0.0,no
PRV51596,3,0.0,0.0,no
PRV51598,61,2.0,0.03278688524590164,yes
PRV51599,3,0.0,0.0,no
PRV51600,3,0.0,0.0,no
PRV51602,12,2.0,0.16666666666666666,yes
PRV51604,50,2.0,0.04,yes
PRV51605,5,0.0,0.0,no
PRV51606,10,0.0,0.0,no
PRV51607,1,0.0,0.0,no
PRV51608,9,0.0,0.0,no
PRV51609,12,0.0,0.0,no
PRV51610,3,0.0,0.0,no
PRV51612,6,0.0,0.0,no
PRV51613,4,0.0,0.0,no
PRV51614,148,5.0,0.033783783783783786,yes
PRV51617,11,0.0,0.0,no
PRV51618,1,0.0,0.0,no
PRV51619,8,0.0,0.0,no
PRV51620,3,0.0,0.0,no
PRV51622,9,0.0,0.0,no
PRV51623,7,0.0,0.0,no
PRV51625,4,0.0,0.0,no
PRV51626,1,0.0,0.0,no
PRV51627,3,0.0,0.0,no
PRV51628,2,0.0,0.0,no
PRV51629,22,1.0,0.045454545454545456,yes
PRV51630,1,0.0,0.0,no
PRV51632,4,1.0,0.25,yes
PRV51634,5,0.0,0.0,no
PRV51635,1,0.0,0.0,no
PRV51636,3,0.0,0.0,no
PRV51637,7,0.0,0.0,no
PRV51638,2,1.0,0.5,yes
PRV51639,12,0.0,0.0,no
PRV51640,3,0.0,0.0,no
PRV51642,1,0.0,0.0,no
PRV51644,1,0.0,0.0,no
PRV51647,6,0.0,0.0,no
PRV51670,1,0.0,0.0,no
PRV51676,3,0.0,0.0,no
PRV51679,2,0.0,0.0,no
PRV51681,1,0.0,0.0,no
PRV51688,2,0.0,0.0,no
PRV51690,7,0.0,0.0,no
PRV51710,14,0.0,0.0,no
PRV51711,1,0.0,0.0,no
PRV51715,3,0.0,0.0,no
PRV51803,2,0.0,0.0,no
PRV51805,3,0.0,0.0,no
PRV51806,1,0.0,0.0,no
PRV51807,7,0.0,0.0,no
PRV51809,27,1.0,0.037037037037037035,yes
PRV51810,3,1.0,0.3333333333333333,yes
PRV51811,15,1.0,0.06666666666666667,yes
PRV51812,1,0.0,0.0,no
PRV51813,10,0.0,0.0,no
PRV51816,7,0.0,0.0,no
PRV51818,29,0.0,0.0,no
PRV51819,2,0.0,0.0,no
PRV51820,5,0.0,0.0,no
PRV51821,10,0.0,0.0,no
PRV51822,1,0.0,0.0,no
PRV51823,8,0.0,0.0,no
PRV51824,10,0.0,0.0,no
PRV51826,21,0.0,0.0,no
PRV51827,18,0.0,0.0,no
PRV51828,11,2.0,0.18181818181818182,yes
PRV51829,5,0.0,0.0,no
PRV51830,6,0.0,0.0,no
PRV51831,2,0.0,0.0,no
PRV51833,3,0.0,0.0,no
PRV51837,15,0.0,0.0,no
PRV51840,39,2.0,0.05128205128205128,yes
PRV51841,8,1.0,0.125,yes
PRV51842,117,9.0,0.07692307692307693,yes
PRV51845,11,0.0,0.0,no
PRV51846,2,0.0,0.0,no
PRV51849,3,0.0,0.0,no
PRV51851,53,0.0,0.0,no
PRV51855,16,0.0,0.0,no
PRV51857,26,0.0,0.0,no
PRV51860,4,0.0,0.0,no
PRV51862,8,0.0,0.0,no
PRV51863,19,0.0,0.0,no
PRV51864,6,0.0,0.0,no
PRV51868,100,4.0,0.04,yes
PRV51869,2,0.0,0.0,no
PRV51873,26,2.0,0.07692307692307693,yes
PRV51876,18,1.0,0.05555555555555555,yes
PRV51884,5,0.0,0.0,no
PRV51890,1,0.0,0.0,no
PRV51898,1,0.0,0.0,no
PRV51919,6,0.0,0.0,no
PRV51920,9,0.0,0.0,no
PRV51927,5,0.0,0.0,no
PRV51929,8,0.0,0.0,no
PRV51931,1,0.0,0.0,no
PRV51932,2,0.0,0.0,no
PRV51935,3,0.0,0.0,no
PRV51938,2,0.0,0.0,no
PRV51940,193,8.0,0.04145077720207254,yes
PRV51941,2,0.0,0.0,no
PRV51943,1,0.0,0.0,no
PRV51944,5,0.0,0.0,no
PRV51946,23,0.0,0.0,no
PRV51947,1,0.0,0.0,no
PRV51948,143,4.0,0.027972027972027972,yes
PRV51949,19,1.0,0.05263157894736842,yes
PRV51950,3,0.0,0.0,no
PRV51951,48,3.0,0.0625,yes
PRV51954,23,1.0,0.043478260869565216,yes
PRV51956,2,0.0,0.0,no
PRV51957,24,0.0,0.0,no
PRV51958,1,0.0,0.0,no
PRV51960,21,1.0,0.047619047619047616,yes
PRV51976,7,0.0,0.0,no
PRV51977,1,0.0,0.0,no
PRV51978,4,0.0,0.0,no
PRV51979,13,0.0,0.0,no
PRV51981,5,1.0,0.2,yes
PRV52002,24,1.0,0.041666666666666664,yes
PRV52003,77,6.0,0.07792207792207792,yes
PRV52012,1,0.0,0.0,no
PRV52017,23,1.0,0.043478260869565216,yes
PRV52019,516,22.0,0.04263565891472868,yes
PRV52020,92,4.0,0.043478260869565216,yes
PRV52021,181,6.0,0.03314917127071823,yes
PRV52027,46,3.0,0.06521739130434782,yes
PRV52028,4,1.0,0.25,yes
PRV52029,11,0.0,0.0,no
PRV52030,4,0.0,0.0,no
PRV52031,1,0.0,0.0,no
PRV52032,56,1.0,0.017857142857142856,yes
PRV52038,22,1.0,0.045454545454545456,yes
PRV52042,1,0.0,0.0,no
PRV52044,43,2.0,0.046511627906976744,yes
PRV52045,46,2.0,0.043478260869565216,yes
PRV52047,15,0.0,0.0,no
PRV52052,5,0.0,0.0,no
PRV52057,10,0.0,0.0,no
PRV52059,13,0.0,0.0,no
PRV52063,88,2.0,0.022727272727272728,yes
PRV52064,38,3.0,0.07894736842105263,yes
PRV52065,116,7.0,0.0603448275862069,yes
PRV52072,41,2.0,0.04878048780487805,yes
PRV52073,28,3.0,0.10714285714285714,yes
PRV52074,11,0.0,0.0,no
PRV52076,56,1.0,0.017857142857142856,yes
PRV52077,104,1.0,0.009615384615384616,yes
PRV52079,7,1.0,0.14285714285714285,yes
PRV52081,3,0.0,0.0,no
PRV52084,10,0.0,0.0,no
PRV52087,2,1.0,0.5,yes
PRV52088,1,0.0,0.0,no
PRV52089,15,0.0,0.0,no
PRV52092,12,0.0,0.0,no
PRV52094,8,0.0,0.0,no
PRV52095,1,0.0,0.0,no
PRV52097,1,0.0,0.0,no
PRV52099,2,0.0,0.0,no
PRV52100,164,1.0,0.006097560975609756,yes
PRV52101,1,0.0,0.0,no
PRV52107,10,0.0,0.0,no
PRV52111,9,0.0,0.0,no
PRV52112,24,0.0,0.0,no
PRV52114,105,4.0,0.0380952380952381,yes
PRV52115,20,1.0,0.05,yes
PRV52118,4,0.0,0.0,no
PRV52119,16,0.0,0.0,no
PRV52120,165,5.0,0.030303030303030304,yes
PRV52121,4,0.0,0.0,no
PRV52123,162,4.0,0.024691358024691357,yes
PRV52124,7,1.0,0.14285714285714285,yes
PRV52126,39,1.0,0.02564102564102564,yes
PRV52127,5,0.0,0.0,no
PRV52128,53,3.0,0.05660377358490566,yes
PRV52130,10,1.0,0.1,yes
PRV52131,31,0.0,0.0,no
PRV52133,2,0.0,0.0,no
PRV52135,210,7.0,0.03333333333333333,yes
PRV52136,40,2.0,0.05,yes
PRV52141,3,0.0,0.0,no
PRV52142,28,0.0,0.0,no
PRV52144,12,0.0,0.0,no
PRV52146,24,1.0,0.041666666666666664,yes
PRV52147,18,0.0,0.0,no
PRV52148,42,1.0,0.023809523809523808,yes
PRV52149,16,0.0,0.0,no
PRV52150,31,2.0,0.06451612903225806,yes
PRV52151,47,2.0,0.0425531914893617,yes
PRV52152,47,4.0,0.0851063829787234,yes
PRV52155,12,0.0,0.0,no
PRV52156,13,0.0,0.0,no
PRV52157,43,0.0,0.0,no
PRV52159,24,0.0,0.0,no
PRV52160,3,0.0,0.0,no
PRV52162,1,0.0,0.0,no
PRV52163,2,0.0,0.0,no
PRV52165,10,0.0,0.0,no
PRV52166,7,0.0,0.0,no
PRV52167,9,0.0,0.0,no
PRV52170,3,0.0,0.0,no
PRV52171,3,0.0,0.0,no
PRV52173,119,2.0,0.01680672268907563,yes
PRV52176,21,2.0,0.09523809523809523,yes
PRV52177,5,0.0,0.0,no
PRV52178,133,8.0,0.06015037593984962,yes
PRV52179,2,0.0,0.0,no
PRV52180,5,0.0,0.0,no
PRV52181,10,0.0,0.0,no
PRV52182,5,0.0,0.0,no
PRV52188,14,0.0,0.0,no
PRV52192,6,0.0,0.0,no
PRV52195,10,1.0,0.1,yes
PRV52197,10,0.0,0.0,no
PRV52265,30,0.0,0.0,no
PRV52266,37,1.0,0.02702702702702703,yes
PRV52267,10,0.0,0.0,no
PRV52278,16,0.0,0.0,no
PRV52279,82,1.0,0.012195121951219513,yes
PRV52280,41,3.0,0.07317073170731707,yes
PRV52281,41,1.0,0.024390243902439025,yes
PRV52282,6,0.0,0.0,no
PRV52283,66,7.0,0.10606060606060606,yes
PRV52285,19,2.0,0.10526315789473684,yes
PRV52286,5,0.0,0.0,no
PRV52289,4,0.0,0.0,no
PRV52290,10,0.0,0.0,no
PRV52291,17,1.0,0.058823529411764705,yes
PRV52292,25,1.0,0.04,yes
PRV52294,7,0.0,0.0,no
PRV52295,5,1.0,0.2,yes
PRV52296,2,0.0,0.0,no
PRV52298,9,0.0,0.0,no
PRV52300,3,0.0,0.0,no
PRV52302,11,0.0,0.0,no
PRV52303,23,2.0,0.08695652173913043,yes
PRV52307,53,2.0,0.03773584905660377,yes
PRV52308,40,2.0,0.05,yes
PRV52314,40,1.0,0.025,yes
PRV52315,5,0.0,0.0,no
PRV52317,2,0.0,0.0,no
PRV52320,69,2.0,0.028985507246376812,yes
PRV52321,33,1.0,0.030303030303030304,yes
PRV52325,27,0.0,0.0,no
PRV52326,8,0.0,0.0,no
PRV52331,9,0.0,0.0,no
PRV52334,8,0.0,0.0,no
PRV52335,2,0.0,0.0,no
PRV52340,224,13.0,0.05803571428571429,yes
PRV52342,51,2.0,0.0392156862745098,yes
PRV52343,42,1.0,0.023809523809523808,yes
PRV52344,23,0.0,0.0,no
PRV52346,19,0.0,0.0,no
PRV52347,50,1.0,0.02,yes
PRV52348,9,0.0,0.0,no
PRV52350,7,0.0,0.0,no
PRV52353,6,0.0,0.0,no
PRV52357,8,0.0,0.0,no
PRV52359,42,3.0,0.07142857142857142,yes
PRV52362,9,1.0,0.1111111111111111,yes
PRV52366,25,2.0,0.08,yes
PRV52367,4,0.0,0.0,no
PRV52372,27,0.0,0.0,no
PRV52373,3,0.0,0.0,no
PRV52378,3,0.0,0.0,no
PRV52387,13,0.0,0.0,no
PRV52392,5,0.0,0.0,no
PRV52393,16,0.0,0.0,no
PRV52394,3,1.0,0.3333333333333333,yes
PRV52396,17,0.0,0.0,no
PRV52398,12,1.0,0.08333333333333333,yes
PRV52401,4,0.0,0.0,no
PRV52402,57,0.0,0.0,no
PRV52403,2,0.0,0.0,no
PRV52404,7,1.0,0.14285714285714285,yes
PRV52405,22,3.0,0.13636363636363635,yes
PRV52419,5,0.0,0.0,no
PRV52427,3,0.0,0.0,no
PRV52445,5,0.0,0.0,no
PRV52446,10,0.0,0.0,no
PRV52449,6,0.0,0.0,no
PRV52452,2,0.0,0.0,no
PRV52457,9,0.0,0.0,no
PRV52458,1,0.0,0.0,no
PRV52459,50,2.0,0.04,yes
PRV52460,13,1.0,0.07692307692307693,yes
PRV52461,7,2.0,0.2857142857142857,yes
PRV52462,2,0.0,0.0,no
PRV52463,1,0.0,0.0,no
PRV52464,2,0.0,0.0,no
PRV52466,13,0.0,0.0,no
PRV52467,8,0.0,0.0,no
PRV52468,3,0.0,0.0,no
PRV52469,6,0.0,0.0,no
PRV52472,18,0.0,0.0,no
PRV52474,22,1.0,0.045454545454545456,yes
PRV52476,6,0.0,0.0,no
PRV52478,5,0.0,0.0,no
PRV52480,5,0.0,0.0,no
PRV52495,12,0.0,0.0,no
PRV52497,4,0.0,0.0,no
PRV52499,8,0.0,0.0,no
PRV52500,7,0.0,0.0,no
PRV52502,26,0.0,0.0,no
PRV52503,5,0.0,0.0,no
PRV52504,14,1.0,0.07142857142857142,yes
PRV52508,2,0.0,0.0,no
PRV52509,6,1.0,0.16666666666666666,yes
PRV52511,75,2.0,0.02666666666666667,yes
PRV52518,1,0.0,0.0,no
PRV52519,6,0.0,0.0,no
PRV52530,1,0.0,0.0,no
PRV52536,1,0.0,0.0,no
PRV52537,1,0.0,0.0,no
PRV52541,5,0.0,0.0,no
PRV52544,6,0.0,0.0,no
PRV52548,5,0.0,0.0,no
PRV52549,6,0.0,0.0,no
PRV52552,11,1.0,0.09090909090909091,yes
PRV52553,4,0.0,0.0,no
PRV52556,46,0.0,0.0,no
PRV52562,6,0.0,0.0,no
PRV52564,5,0.0,0.0,no
PRV52565,11,1.0,0.09090909090909091,yes
PRV52566,22,2.0,0.09090909090909091,yes
PRV52570,8,0.0,0.0,no
PRV52574,146,5.0,0.03424657534246575,yes
PRV52576,3,0.0,0.0,no
PRV52578,37,0.0,0.0,no
PRV52582,19,1.0,0.05263157894736842,yes
PRV52583,26,0.0,0.0,no
PRV52584,3,0.0,0.0,no
PRV52588,17,0.0,0.0,no
PRV52589,81,4.0,0.04938271604938271,yes
PRV52590,115,3.0,0.02608695652173913,yes
PRV52592,7,0.0,0.0,no
PRV52602,9,0.0,0.0,no
PRV52608,1,0.0,0.0,no
PRV52609,5,1.0,0.2,yes
PRV52610,1,0.0,0.0,no
PRV52611,9,0.0,0.0,no
PRV52615,2,0.0,0.0,no
PRV52617,42,1.0,0.023809523809523808,yes
PRV52621,24,0.0,0.0,no
PRV52622,4,0.0,0.0,no
PRV52623,10,0.0,0.0,no
PRV52627,3,0.0,0.0,no
PRV52630,87,3.0,0.034482758620689655,yes
PRV52634,58,1.0,0.017241379310344827,yes
PRV52641,21,2.0,0.09523809523809523,yes
PRV52642,146,7.0,0.04794520547945205,yes
PRV52644,9,0.0,0.0,no
PRV52646,34,0.0,0.0,no
PRV52647,7,0.0,0.0,no
PRV52651,3,0.0,0.0,no
PRV52653,4,0.0,0.0,no
PRV52654,58,3.0,0.05172413793103448,yes
PRV52662,2,0.0,0.0,no
PRV52684,5,0.0,0.0,no
PRV52687,6,0.0,0.0,no
PRV52688,6,0.0,0.0,no
PRV52691,3,0.0,0.0,no
PRV52696,3,0.0,0.0,no
PRV52698,1,0.0,0.0,no
PRV52699,1,0.0,0.0,no
PRV52706,2,1.0,0.5,yes
PRV52708,5,0.0,0.0,no
PRV52717,20,3.0,0.15,yes
PRV52722,9,2.0,0.2222222222222222,yes
PRV52723,18,1.0,0.05555555555555555,yes
PRV52787,11,0.0,0.0,no
PRV52803,2,0.0,0.0,no
PRV52804,1,0.0,0.0,no
PRV52806,2,0.0,0.0,no
PRV52807,2,0.0,0.0,no
PRV52808,4,0.0,0.0,no
PRV52810,6,0.0,0.0,no
PRV52813,17,0.0,0.0,no
PRV52814,2,0.0,0.0,no
PRV52815,26,0.0,0.0,no
PRV52816,1,0.0,0.0,no
PRV52821,173,5.0,0.028901734104046242,yes
PRV52823,7,0.0,0.0,no
PRV52828,23,3.0,0.13043478260869565,yes
PRV52829,6,0.0,0.0,no
PRV52831,20,0.0,0.0,no
PRV52833,4,0.0,0.0,no
PRV52835,11,0.0,0.0,no
PRV52836,5,1.0,0.2,yes
PRV52837,2,0.0,0.0,no
PRV52841,1,0.0,0.0,no
PRV52842,24,2.0,0.08333333333333333,yes
PRV52843,47,4.0,0.0851063829787234,yes
PRV52844,2,0.0,0.0,no
PRV52845,8,2.0,0.25,yes
PRV52846,175,4.0,0.022857142857142857,yes
PRV52847,62,3.0,0.04838709677419355,yes
PRV52849,2,1.0,0.5,yes
PRV52850,1,0.0,0.0,no
PRV52851,8,1.0,0.125,yes
PRV52855,3,0.0,0.0,no
PRV52857,6,0.0,0.0,no
PRV52858,14,0.0,0.0,no
PRV52862,56,1.0,0.017857142857142856,yes
PRV52865,6,0.0,0.0,no
PRV52868,42,0.0,0.0,no
PRV52869,7,0.0,0.0,no
PRV52870,35,0.0,0.0,no
PRV52876,18,1.0,0.05555555555555555,yes
PRV52880,3,0.0,0.0,no
PRV52881,20,1.0,0.05,yes
PRV52887,23,0.0,0.0,no
PRV52889,31,0.0,0.0,no
PRV52890,4,1.0,0.25,yes
PRV52892,7,0.0,0.0,no
PRV52896,17,0.0,0.0,no
PRV52898,48,2.0,0.041666666666666664,yes
PRV52902,21,0.0,0.0,no
PRV52903,167,3.0,0.017964071856287425,yes
PRV52904,1,0.0,0.0,no
PRV52910,10,0.0,0.0,no
PRV52912,1,0.0,0.0,no
PRV52916,6,0.0,0.0,no
PRV52918,13,0.0,0.0,no
PRV52920,2,0.0,0.0,no
PRV52921,3,0.0,0.0,no
PRV52922,7,1.0,0.14285714285714285,yes
PRV52924,3,0.0,0.0,no
PRV52925,4,1.0,0.25,yes
PRV52926,4,0.0,0.0,no
PRV52933,4,0.0,0.0,no
PRV52936,4,0.0,0.0,no
PRV52970,1,0.0,0.0,no
PRV52971,3,0.0,0.0,no
PRV52972,17,1.0,0.058823529411764705,yes
PRV52976,4,0.0,0.0,no
PRV52978,5,0.0,0.0,no
PRV52979,6,0.0,0.0,no
PRV52985,121,6.0,0.049586776859504134,yes
PRV52986,9,0.0,0.0,no
PRV52989,70,1.0,0.014285714285714285,yes
PRV52990,22,2.0,0.09090909090909091,yes
PRV52991,8,0.0,0.0,no
PRV52998,15,2.0,0.13333333333333333,yes
PRV52999,8,0.0,0.0,no
PRV53005,16,1.0,0.0625,yes
PRV53007,37,0.0,0.0,no
PRV53008,39,0.0,0.0,no
