,Provider,ClaimNum,DupClaimNum,DupClaimRatio,DupClaim,group_x,DupClaimStates,DupClaimStatesNum,DupClaimMultiState,group_y,DupClaimProvider_x,DupClaimProviderNum_x,DupClaimMultiProvider_x,group,DupClaimProvider_y,DupClaimProviderNum_y,DupClaimMultiProvider_y
39,PRV51089,18,0.0,0.0,no,,,,,,,,,,,,
40,PRV51093,2,0.0,0.0,no,,,,,,,,,,,,
41,PRV51100,5,0.0,0.0,no,,,,,,,,,,,,
42,PRV51101,3,0.0,0.0,no,,,,,,,,,,,,
43,PRV51102,12,1.0,0.08333333333333333,yes,[254],"[1, 10]",2.0,yes,[254],"['PRV57205', 'PRV51086', 'PRV51102']",3.0,yes,[254],"['PRV57205', 'PRV51086', 'PRV51102']",3.0,yes
44,PRV51108,19,1.0,0.05263157894736842,yes,[5],"[1, 18]",2.0,yes,[5],"['PRV53242', 'PRV51108']",2.0,yes,[5],"['PRV53242', 'PRV51108']",2.0,yes
45,PRV51109,3,0.0,0.0,no,,,,,,,,,,,,
46,PRV51110,5,0.0,0.0,no,,,,,,,,,,,,
47,PRV51118,16,0.0,0.0,no,,,,,,,,,,,,
48,PRV51119,94,3.0,0.031914893617021274,yes,[ 18 369 602],"[24, 1, 5, 25]",4.0,yes,[ 18 369 602],"['PRV51399', 'PRV51119', 'PRV56350', 'PRV54230']",4.0,yes,[ 18 369 602],"['PRV51399', 'PRV51119', 'PRV56350', 'PRV54230']",4.0,yes
49,PRV51120,7,0.0,0.0,no,,,,,,,,,,,,
50,PRV51121,6,0.0,0.0,no,,,,,,,,,,,,
51,PRV51123,2,0.0,0.0,no,,,,,,,,,,,,
52,PRV51125,12,0.0,0.0,no,,,,,,,,,,,,
53,PRV51126,20,2.0,0.1,yes,[378 394],"[2, 4, 45]",3.0,yes,[378 394],"['PRV51126', 'PRV51284', 'PRV56560']",3.0,yes,[378 394],"['PRV51126', 'PRV51284', 'PRV56560']",3.0,yes
54,PRV51128,5,0.0,0.0,no,,,,,,,,,,,,
55,PRV51132,1,0.0,0.0,no,,,,,,,,,,,,
56,PRV51136,1,0.0,0.0,no,,,,,,,,,,,,
57,PRV51137,1,0.0,0.0,no,,,,,,,,,,,,
58,PRV51138,1,0.0,0.0,no,,,,,,,,,,,,
59,PRV51139,7,0.0,0.0,no,,,,,,,,,,,,
60,PRV51140,47,3.0,0.06382978723404255,yes,[176 206 416],"[10, 3, 4, 21]",4.0,yes,[176 206 416],"['PRV53710', 'PRV51140', 'PRV51252', 'PRV52123']",4.0,yes,[176 206 416],"['PRV53710', 'PRV51140', 'PRV51252', 'PRV52123']",4.0,yes
61,PRV51142,7,0.0,0.0,no,,,,,,,,,,,,
62,PRV51144,4,0.0,0.0,no,,,,,,,,,,,,
63,PRV51145,161,7.0,0.043478260869565216,yes,[ 17 140 157 185 258 277 284],"[33, 34, 3, 5, 37, 39, 49]",7.0,yes,[ 17 140 157 185 258 277 284],"['PRV55194', 'PRV57225', 'PRV55179', 'PRV51604', 'PRV51145', 'PRV55689', 'PRV56131', 'PRV54955']",8.0,yes,[ 17 140 157 185 258 277 284],"['PRV55194', 'PRV57225', 'PRV55179', 'PRV51604', 'PRV51145', 'PRV55689', 'PRV56131', 'PRV54955']",8.0,yes
64,PRV51146,162,10.0,0.06172839506172839,yes,[  4  53  61 184 368 390 477 545 633 697],"[33, 34, 3, 10, 11, 47, 16, 15, 18, 51, 50, 29]",12.0,yes,[  4  53  61 184 368 390 477 545 633 697],"['PRV55194', 'PRV53269', 'PRV55019', 'PRV53308', 'PRV57425', 'PRV52017', 'PRV52178', 'PRV57157', 'PRV51148', 'PRV51146', 'PRV52343']",11.0,yes,[  4  53  61 184 368 390 477 545 633 697],"['PRV55194', 'PRV53269', 'PRV55019', 'PRV53308', 'PRV57425', 'PRV52017', 'PRV52178', 'PRV57157', 'PRV51148', 'PRV51146', 'PRV52343']",11.0,yes
65,PRV51148,34,1.0,0.029411764705882353,yes,[61],"[3, 29]",2.0,yes,[61],"['PRV51148', 'PRV51146']",2.0,yes,[61],"['PRV51148', 'PRV51146']",2.0,yes
66,PRV51149,116,2.0,0.017241379310344827,yes,[441 669],"[11, 10, 3]",3.0,yes,[441 669],"['PRV52135', 'PRV51149', 'PRV52394']",3.0,yes,[441 669],"['PRV52135', 'PRV51149', 'PRV52394']",3.0,yes
67,PRV51151,22,1.0,0.045454545454545456,yes,[67],"[3, 4]",2.0,yes,[67],"['PRV51288', 'PRV51151']",2.0,yes,[67],"['PRV51288', 'PRV51151']",2.0,yes
68,PRV51153,4,0.0,0.0,no,,,,,,,,,,,,
69,PRV51159,65,1.0,0.015384615384615385,yes,[415],"[36, 38]",2.0,yes,[415],"['PRV55462', 'PRV51159']",2.0,yes,[415],"['PRV55462', 'PRV51159']",2.0,yes
70,PRV51160,90,1.0,0.011111111111111112,yes,[115],"[3, 51]",2.0,yes,[115],"['PRV51160', 'PRV57437']",2.0,yes,[115],"['PRV51160', 'PRV57437']",2.0,yes
71,PRV51164,41,3.0,0.07317073170731707,yes,[ 96 257 360],"[10, 3, 45, 39]",4.0,yes,[ 96 257 360],"['PRV56738', 'PRV51164', 'PRV52019', 'PRV55907']",4.0,yes,[ 96 257 360],"['PRV56738', 'PRV51164', 'PRV52019', 'PRV55907']",4.0,yes
72,PRV51165,26,1.0,0.038461538461538464,yes,[388],"[24, 44]",2.0,yes,[388],"['PRV56533', 'PRV51165']",2.0,yes,[388],"['PRV56533', 'PRV51165']",2.0,yes
73,PRV51166,1,0.0,0.0,no,,,,,,,,,,,,
74,PRV51168,9,0.0,0.0,no,,,,,,,,,,,,
75,PRV51170,8,0.0,0.0,no,,,,,,,,,,,,
76,PRV51173,7,0.0,0.0,no,,,,,,,,,,,,
77,PRV51178,34,0.0,0.0,no,,,,,,,,,,,,
78,PRV51180,2,0.0,0.0,no,,,,,,,,,,,,
79,PRV51183,41,0.0,0.0,no,,,,,,,,,,,,
80,PRV51190,3,0.0,0.0,no,,,,,,,,,,,,
81,PRV51194,2,0.0,0.0,no,,,,,,,,,,,,
82,PRV51207,3,0.0,0.0,no,,,,,,,,,,,,
83,PRV51231,2,0.0,0.0,no,,,,,,,,,,,,
84,PRV51232,1,0.0,0.0,no,,,,,,,,,,,,
85,PRV51233,3,0.0,0.0,no,,,,,,,,,,,,
86,PRV51234,5,0.0,0.0,no,,,,,,,,,,,,
87,PRV51235,2,0.0,0.0,no,,,,,,,,,,,,
88,PRV51236,1,0.0,0.0,no,,,,,,,,,,,,
89,PRV51237,1,0.0,0.0,no,,,,,,,,,,,,
90,PRV51238,8,1.0,0.125,yes,[698],"[3, 11]",2.0,yes,[698],"['PRV51238', 'PRV52340']",2.0,yes,[698],"['PRV51238', 'PRV52340']",2.0,yes
91,PRV51239,1,0.0,0.0,no,,,,,,,,,,,,
92,PRV51240,11,0.0,0.0,no,,,,,,,,,,,,
93,PRV51241,10,0.0,0.0,no,,,,,,,,,,,,
94,PRV51242,11,1.0,0.09090909090909091,yes,[504],"[18, 4, 5, 31]",4.0,yes,[504],"['PRV53269', 'PRV54742', 'PRV51393', 'PRV51242']",4.0,yes,[504],"['PRV53269', 'PRV54742', 'PRV51393', 'PRV51242']",4.0,yes
95,PRV51244,200,9.0,0.045,yes,[ 51  70  79 161 323 383 506 646 703],"[32, 4, 5, 7, 39, 14, 46, 51, 26]",9.0,yes,[ 51  70  79 161 323 383 506 646 703],"['PRV54845', 'PRV54350', 'PRV51244', 'PRV52019', 'PRV57481', 'PRV55911', 'PRV55891', 'PRV52842', 'PRV57101', 'PRV52280']",10.0,yes,[ 51  70  79 161 323 383 506 646 703],"['PRV54845', 'PRV54350', 'PRV51244', 'PRV52019', 'PRV57481', 'PRV55911', 'PRV55891', 'PRV52842', 'PRV57101', 'PRV52280']",10.0,yes
96,PRV51245,4,0.0,0.0,no,,,,,,,,,,,,
97,PRV51247,10,0.0,0.0,no,,,,,,,,,,,,
98,PRV51248,1,0.0,0.0,no,,,,,,,,,,,,
99,PRV51249,51,4.0,0.0784313725490196,yes,[ 15 270 500 614],"[33, 4, 31, 23]",4.0,yes,[ 15 270 500 614],"['PRV54896', 'PRV51249', 'PRV54757', 'PRV53932', 'PRV55156']",5.0,yes,[ 15 270 500 614],"['PRV54896', 'PRV51249', 'PRV54757', 'PRV53932', 'PRV55156']",5.0,yes
100,PRV51252,18,1.0,0.05555555555555555,yes,[176],"[3, 4]",2.0,yes,[176],"['PRV51140', 'PRV51252']",2.0,yes,[176],"['PRV51140', 'PRV51252']",2.0,yes
101,PRV51255,2,0.0,0.0,no,,,,,,,,,,,,
102,PRV51258,8,0.0,0.0,no,,,,,,,,,,,,
103,PRV51259,4,0.0,0.0,no,,,,,,,,,,,,
104,PRV51260,3,0.0,0.0,no,,,,,,,,,,,,
105,PRV51261,26,1.0,0.038461538461538464,yes,[572],"[26, 5]",2.0,yes,[572],"['PRV51389', 'PRV51261']",2.0,yes,[572],"['PRV51389', 'PRV51261']",2.0,yes
106,PRV51263,18,1.0,0.05555555555555555,yes,[21],"[4, 36]",2.0,yes,[21],"['PRV51263', 'PRV55662']",2.0,yes,[21],"['PRV51263', 'PRV55662']",2.0,yes
107,PRV51266,10,1.0,0.1,yes,[379],"[34, 4]",2.0,yes,[379],"['PRV55250', 'PRV51266']",2.0,yes,[379],"['PRV55250', 'PRV51266']",2.0,yes
108,PRV51267,2,0.0,0.0,no,,,,,,,,,,,,
109,PRV51271,2,0.0,0.0,no,,,,,,,,,,,,
110,PRV51272,2,0.0,0.0,no,,,,,,,,,,,,
111,PRV51274,10,1.0,0.1,yes,[438],"[26, 4]",2.0,yes,[438],"['PRV51274', 'PRV54367']",2.0,yes,[438],"['PRV51274', 'PRV54367']",2.0,yes
112,PRV51276,14,0.0,0.0,no,,,,,,,,,,,,
113,PRV51277,10,0.0,0.0,no,,,,,,,,,,,,
114,PRV51282,8,0.0,0.0,no,,,,,,,,,,,,
115,PRV51284,17,2.0,0.11764705882352941,yes,[169 378],"[50, 2, 4]",3.0,yes,[169 378],"['PRV51126', 'PRV51284', 'PRV51578']",3.0,yes,[169 378],"['PRV51126', 'PRV51284', 'PRV51578']",3.0,yes
116,PRV51285,15,0.0,0.0,no,,,,,,,,,,,,
117,PRV51286,15,0.0,0.0,no,,,,,,,,,,,,
118,PRV51288,3,1.0,0.3333333333333333,yes,[67],"[3, 4]",2.0,yes,[67],"['PRV51288', 'PRV51151']",2.0,yes,[67],"['PRV51288', 'PRV51151']",2.0,yes
119,PRV51296,3,0.0,0.0,no,,,,,,,,,,,,
120,PRV51297,5,0.0,0.0,no,,,,,,,,,,,,
121,PRV51300,7,3.0,0.42857142857142855,yes,[ 56 158 330],"[4, 5, 39, 10, 11, 52]",6.0,yes,[ 56 158 330],"['PRV56012', 'PRV52135', 'PRV55971', 'PRV52020', 'PRV51471', 'PRV52347', 'PRV51300']",7.0,yes,[ 56 158 330],"['PRV56012', 'PRV52135', 'PRV55971', 'PRV52020', 'PRV51471', 'PRV52347', 'PRV51300']",7.0,yes
122,PRV51301,6,0.0,0.0,no,,,,,,,,,,,,
123,PRV51302,10,0.0,0.0,no,,,,,,,,,,,,
124,PRV51304,2,0.0,0.0,no,,,,,,,,,,,,
125,PRV51305,11,0.0,0.0,no,,,,,,,,,,,,
126,PRV51311,3,0.0,0.0,no,,,,,,,,,,,,
127,PRV51312,4,0.0,0.0,no,,,,,,,,,,,,
128,PRV51316,3,0.0,0.0,no,,,,,,,,,,,,
129,PRV51318,3,0.0,0.0,no,,,,,,,,,,,,
130,PRV51334,2,1.0,0.5,yes,[289],"[4, 31]",2.0,yes,[289],"['PRV51334', 'PRV52073']",2.0,yes,[289],"['PRV51334', 'PRV52073']",2.0,yes
131,PRV51336,10,0.0,0.0,no,,,,,,,,,,,,
132,PRV51337,40,0.0,0.0,no,,,,,,,,,,,,
133,PRV51338,7,0.0,0.0,no,,,,,,,,,,,,
134,PRV51342,28,3.0,0.10714285714285714,yes,[  7 253 364],"[5, 44, 45, 49, 52]",5.0,yes,[  7 253 364],"['PRV57548', 'PRV56918', 'PRV55171', 'PRV51342', 'PRV56438']",5.0,yes,[  7 253 364],"['PRV57548', 'PRV56918', 'PRV55171', 'PRV51342', 'PRV56438']",5.0,yes
135,PRV51344,2,0.0,0.0,no,,,,,,,,,,,,
136,PRV51346,5,0.0,0.0,no,,,,,,,,,,,,
137,PRV51348,19,0.0,0.0,no,,,,,,,,,,,,
138,PRV51349,5,0.0,0.0,no,,,,,,,,,,,,
139,PRV51350,21,1.0,0.047619047619047616,yes,[516],"[18, 5]",2.0,yes,[516],"['PRV56442', 'PRV51350']",2.0,yes,[516],"['PRV56442', 'PRV51350']",2.0,yes
140,PRV51353,5,0.0,0.0,no,,,,,,,,,,,,
141,PRV51354,1,0.0,0.0,no,,,,,,,,,,,,
142,PRV51355,15,0.0,0.0,no,,,,,,,,,,,,
143,PRV51356,17,0.0,0.0,no,,,,,,,,,,,,
144,PRV51357,13,1.0,0.07692307692307693,yes,[654],"[27, 5]",2.0,yes,[654],"['PRV51357', 'PRV54506']",2.0,yes,[654],"['PRV51357', 'PRV54506']",2.0,yes
145,PRV51358,7,0.0,0.0,no,,,,,,,,,,,,
146,PRV51360,9,1.0,0.1111111111111111,yes,[491],"[5, 45]",2.0,yes,[491],"['PRV51360', 'PRV56909']",2.0,yes,[491],"['PRV51360', 'PRV56909']",2.0,yes
147,PRV51362,6,0.0,0.0,no,,,,,,,,,,,,
148,PRV51364,6,0.0,0.0,no,,,,,,,,,,,,
149,PRV51371,11,0.0,0.0,no,,,,,,,,,,,,
150,PRV51377,3,0.0,0.0,no,,,,,,,,,,,,
151,PRV51378,108,4.0,0.037037037037037035,yes,[217 542 598 663],"[21, 5, 18, 45]",4.0,yes,[217 542 598 663],"['PRV53242', 'PRV57030', 'PRV51378', 'PRV53675', 'PRV56895']",5.0,yes,[217 542 598 663],"['PRV53242', 'PRV57030', 'PRV51378', 'PRV53675', 'PRV56895']",5.0,yes
152,PRV51379,2,0.0,0.0,no,,,,,,,,,,,,
153,PRV51380,4,0.0,0.0,no,,,,,,,,,,,,
154,PRV51383,9,0.0,0.0,no,,,,,,,,,,,,
155,PRV51387,13,1.0,0.07692307692307693,yes,[69],"[50, 5]",2.0,yes,[69],"['PRV57310', 'PRV51387']",2.0,yes,[69],"['PRV57310', 'PRV51387']",2.0,yes
156,PRV51388,14,0.0,0.0,no,,,,,,,,,,,,
157,PRV51389,18,1.0,0.05555555555555555,yes,[572],"[26, 5]",2.0,yes,[572],"['PRV51389', 'PRV51261']",2.0,yes,[572],"['PRV51389', 'PRV51261']",2.0,yes
158,PRV51390,164,3.0,0.018292682926829267,yes,[ 16 160 451],"[24, 33, 5, 45]",4.0,yes,[ 16 160 451],"['PRV56563', 'PRV54106', 'PRV54981', 'PRV51390']",4.0,yes,[ 16 160 451],"['PRV56563', 'PRV54106', 'PRV54981', 'PRV51390']",4.0,yes
159,PRV51391,13,1.0,0.07692307692307693,yes,[236],"[5, 54]",2.0,yes,[236],"['PRV51391', 'PRV52366']",2.0,yes,[236],"['PRV51391', 'PRV52366']",2.0,yes
160,PRV51393,68,3.0,0.04411764705882353,yes,[376 504 636],"[4, 5, 15, 18, 31]",5.0,yes,[376 504 636],"['PRV51393', 'PRV53269', 'PRV51242', 'PRV54742', 'PRV52903', 'PRV53244']",6.0,yes,[376 504 636],"['PRV51393', 'PRV53269', 'PRV51242', 'PRV54742', 'PRV52903', 'PRV53244']",6.0,yes
161,PRV51396,3,0.0,0.0,no,,,,,,,,,,,,
162,PRV51398,1,0.0,0.0,no,,,,,,,,,,,,
163,PRV51399,65,6.0,0.09230769230769231,yes,[282 302 404 503 519 602],"[1, 33, 5, 6, 13]",5.0,yes,[282 302 404 503 519 602],"['PRV51037', 'PRV51840', 'PRV51119', 'PRV52511', 'PRV51399', 'PRV51030', 'PRV54902']",7.0,yes,[282 302 404 503 519 602],"['PRV51037', 'PRV51840', 'PRV51119', 'PRV52511', 'PRV51399', 'PRV51030', 'PRV54902']",7.0,yes
164,PRV51401,8,0.0,0.0,no,,,,,,,,,,,,
165,PRV51403,10,0.0,0.0,no,,,,,,,,,,,,
166,PRV51404,1,0.0,0.0,no,,,,,,,,,,,,
167,PRV51405,2,0.0,0.0,no,,,,,,,,,,,,
168,PRV51406,8,0.0,0.0,no,,,,,,,,,,,,
169,PRV51414,3,0.0,0.0,no,,,,,,,,,,,,
170,PRV51415,7,1.0,0.14285714285714285,yes,[384],"[5, 6]",2.0,yes,[384],"['PRV51415', 'PRV51868']",2.0,yes,[384],"['PRV51415', 'PRV51868']",2.0,yes
171,PRV51418,17,2.0,0.11764705882352941,yes,[212 382],"[5, 34, 36, 29]",4.0,yes,[212 382],"['PRV51418', 'PRV55555', 'PRV55230']",3.0,yes,[212 382],"['PRV51418', 'PRV55555', 'PRV55230']",3.0,yes
172,PRV51419,2,0.0,0.0,no,,,,,,,,,,,,
173,PRV51421,84,3.0,0.03571428571428571,yes,[230 313 480],"[24, 36, 5, 39]",4.0,yes,[230 313 480],"['PRV51421', 'PRV52019', 'PRV55550', 'PRV56105']",4.0,yes,[230 313 480],"['PRV51421', 'PRV52019', 'PRV55550', 'PRV56105']",4.0,yes
174,PRV51422,4,0.0,0.0,no,,,,,,,,,,,,
175,PRV51424,1,0.0,0.0,no,,,,,,,,,,,,
176,PRV51425,3,0.0,0.0,no,,,,,,,,,,,,
177,PRV51426,6,0.0,0.0,no,,,,,,,,,,,,
178,PRV51427,5,1.0,0.2,yes,[554],"[10, 5]",2.0,yes,[554],"['PRV52064', 'PRV51427']",2.0,yes,[554],"['PRV52064', 'PRV51427']",2.0,yes
179,PRV51428,4,0.0,0.0,no,,,,,,,,,,,,
180,PRV51430,17,0.0,0.0,no,,,,,,,,,,,,
181,PRV51431,25,0.0,0.0,no,,,,,,,,,,,,
182,PRV51432,7,0.0,0.0,no,,,,,,,,,,,,
183,PRV51434,24,0.0,0.0,no,,,,,,,,,,,,
184,PRV51435,6,0.0,0.0,no,,,,,,,,,,,,
185,PRV51436,25,1.0,0.04,yes,[263],"[36, 5]",2.0,yes,[263],"['PRV55444', 'PRV51436']",2.0,yes,[263],"['PRV55444', 'PRV51436']",2.0,yes
186,PRV51438,2,1.0,0.5,yes,[399],"[5, 7]",2.0,yes,[399],"['PRV51438', 'PRV51948']",2.0,yes,[399],"['PRV51438', 'PRV51948']",2.0,yes
187,PRV51440,7,0.0,0.0,no,,,,,,,,,,,,
188,PRV51442,2,0.0,0.0,no,,,,,,,,,,,,
189,PRV51443,2,0.0,0.0,no,,,,,,,,,,,,
190,PRV51444,4,0.0,0.0,no,,,,,,,,,,,,
191,PRV51446,12,0.0,0.0,no,,,,,,,,,,,,
192,PRV51447,16,0.0,0.0,no,,,,,,,,,,,,
193,PRV51448,11,2.0,0.18181818181818182,yes,[352 439],"[26, 5, 38]",3.0,yes,[352 439],"['PRV55869', 'PRV54342', 'PRV51448']",3.0,yes,[352 439],"['PRV55869', 'PRV54342', 'PRV51448']",3.0,yes
194,PRV51449,9,0.0,0.0,no,,,,,,,,,,,,
195,PRV51455,9,0.0,0.0,no,,,,,,,,,,,,
196,PRV51456,112,4.0,0.03571428571428571,yes,[260 348 585 655],"[33, 5, 45, 47, 17]",5.0,yes,[260 348 585 655],"['PRV53101', 'PRV57157', 'PRV55157', 'PRV56710', 'PRV51456']",5.0,yes,[260 348 585 655],"['PRV53101', 'PRV57157', 'PRV55157', 'PRV56710', 'PRV51456']",5.0,yes
197,PRV51460,17,0.0,0.0,no,,,,,,,,,,,,
198,PRV51465,1,0.0,0.0,no,,,,,,,,,,,,
199,PRV51466,5,0.0,0.0,no,,,,,,,,,,,,
200,PRV51467,7,1.0,0.14285714285714285,yes,[73],"[11, 5]",2.0,yes,[73],"['PRV51467', 'PRV52320']",2.0,yes,[73],"['PRV51467', 'PRV52320']",2.0,yes
201,PRV51468,15,1.0,0.06666666666666667,yes,[242],[5],1.0,no,[242],"['PRV51590', 'PRV51468']",2.0,yes,[242],"['PRV51590', 'PRV51468']",2.0,yes
202,PRV51470,3,0.0,0.0,no,,,,,,,,,,,,
203,PRV51471,161,7.0,0.043478260869565216,yes,[274 306 330 340 366 387 673],"[4, 5, 10, 11, 45, 52, 54]",7.0,yes,[274 306 330 340 366 387 673],"['PRV52405', 'PRV56583', 'PRV54909', 'PRV51471', 'PRV51300', 'PRV57543', 'PRV52100', 'PRV55942']",8.0,yes,[274 306 330 340 366 387 673],"['PRV52405', 'PRV56583', 'PRV54909', 'PRV51471', 'PRV51300', 'PRV57543', 'PRV52100', 'PRV55942']",8.0,yes
204,PRV51474,41,0.0,0.0,no,,,,,,,,,,,,
205,PRV51475,11,1.0,0.09090909090909091,yes,[447],"[5, 31]",2.0,yes,[447],"['PRV51475', 'PRV55978']",2.0,yes,[447],"['PRV51475', 'PRV55978']",2.0,yes
206,PRV51476,3,0.0,0.0,no,,,,,,,,,,,,
207,PRV51479,13,0.0,0.0,no,,,,,,,,,,,,
208,PRV51482,11,1.0,0.09090909090909091,yes,[684],"[11, 5]",2.0,yes,[684],"['PRV51482', 'PRV52404']",2.0,yes,[684],"['PRV51482', 'PRV52404']",2.0,yes
209,PRV51483,6,0.0,0.0,no,,,,,,,,,,,,
210,PRV51484,2,0.0,0.0,no,,,,,,,,,,,,
211,PRV51488,3,0.0,0.0,no,,,,,,,,,,,,
212,PRV51490,48,0.0,0.0,no,,,,,,,,,,,,
213,PRV51491,8,0.0,0.0,no,,,,,,,,,,,,
214,PRV51492,14,1.0,0.07142857142857142,yes,[200],"[10, 5]",2.0,yes,[200],"['PRV51492', 'PRV52072']",2.0,yes,[200],"['PRV51492', 'PRV52072']",2.0,yes
215,PRV51495,90,4.0,0.044444444444444446,yes,[ 37 229 485 618],"[1, 5, 49, 19, 24]",5.0,yes,[ 37 229 485 618],"['PRV53601', 'PRV51023', 'PRV57251', 'PRV54205', 'PRV51495']",5.0,yes,[ 37 229 485 618],"['PRV53601', 'PRV51023', 'PRV57251', 'PRV54205', 'PRV51495']",5.0,yes
216,PRV51497,4,0.0,0.0,no,,,,,,,,,,,,
217,PRV51499,2,0.0,0.0,no,,,,,,,,,,,,
218,PRV51501,223,11.0,0.04932735426008968,yes,[ 42  78 131 153 165 239 481 495 549 577 692],"[33, 5, 6, 39, 7, 42, 10, 15, 17, 26, 27, 31]",12.0,yes,[ 42  78 131 153 165 239 481 495 549 577 692],"['PRV52019', 'PRV54765', 'PRV53129', 'PRV51501', 'PRV51873', 'PRV54409', 'PRV56260', 'PRV52065', 'PRV52903', 'PRV55990', 'PRV54514', 'PRV51948']",12.0,yes,[ 42  78 131 153 165 239 481 495 549 577 692],"['PRV52019', 'PRV54765', 'PRV53129', 'PRV51501', 'PRV51873', 'PRV54409', 'PRV56260', 'PRV52065', 'PRV52903', 'PRV55990', 'PRV54514', 'PRV51948']",12.0,yes
219,PRV51507,6,0.0,0.0,no,,,,,,,,,,,,
220,PRV51508,12,0.0,0.0,no,,,,,,,,,,,,
221,PRV51514,21,0.0,0.0,no,,,,,,,,,,,,
