,Provider,group,DupClaimStates,DupClaimStatesNum,DupClaimMultiState
40,PRV51350,[516],"[18, 5]",2,yes
41,PRV51357,[654],"[27, 5]",2,yes
42,PRV51360,[491],"[5, 45]",2,yes
43,PRV51378,[217 542 598 663],"[21, 5, 18, 45]",4,yes
44,PRV51387,[69],"[50, 5]",2,yes
45,PRV51389,[572],"[26, 5]",2,yes
46,PRV51390,[ 16 160 451],"[24, 33, 5, 45]",4,yes
47,PRV51391,[236],"[5, 54]",2,yes
48,PRV51393,[376 504 636],"[4, 5, 15, 18, 31]",5,yes
49,PRV51399,[282 302 404 503 519 602],"[1, 33, 5, 6, 13]",5,yes
50,PRV51415,[384],"[5, 6]",2,yes
51,PRV51418,[212 382],"[5, 34, 36, 29]",4,yes
52,PRV51421,[230 313 480],"[24, 36, 5, 39]",4,yes
53,PRV51427,[554],"[10, 5]",2,yes
54,PRV51436,[263],"[36, 5]",2,yes
55,PRV51438,[399],"[5, 7]",2,yes
56,PRV51448,[352 439],"[26, 5, 38]",3,yes
57,PRV51456,[260 348 585 655],"[33, 5, 45, 47, 17]",5,yes
58,PRV51467,[73],"[11, 5]",2,yes
59,PRV51468,[242],[5],1,no
60,PRV51471,[274 306 330 340 366 387 673],"[4, 5, 10, 11, 45, 52, 54]",7,yes
61,PRV51475,[447],"[5, 31]",2,yes
62,PRV51482,[684],"[11, 5]",2,yes
63,PRV51492,[200],"[10, 5]",2,yes
64,PRV51495,[ 37 229 485 618],"[1, 5, 49, 19, 24]",5,yes
65,PRV51501,[ 42  78 131 153 165 239 481 495 549 577 692],"[33, 5, 6, 39, 7, 42, 10, 15, 17, 26, 27, 31]",12,yes
66,PRV51516,[285],"[5, 31]",2,yes
67,PRV51523,[ 90 223 662],"[33, 5, 10, 14, 18, 22]",6,yes
68,PRV51532,[228],"[5, 38]",2,yes
69,PRV51533,[527],"[11, 5]",2,yes
70,PRV51539,[246],"[10, 5]",2,yes
71,PRV51542,[ 55 671],"[51, 5, 39]",3,yes
72,PRV51544,[110 141 514 631],"[33, 5, 10, 12, 14, 23]",6,yes
73,PRV51549,[461],"[52, 5]",2,yes
74,PRV51560,[ 20 112 245 444 535],"[33, 34, 37, 5, 7, 24]",6,yes
75,PRV51578,[149 150 169 488],"[2, 4, 38, 42, 50, 52]",6,yes
76,PRV51579,[233],"[36, 5]",2,yes
77,PRV51584,[ 59 371],"[21, 5, 39]",3,yes
78,PRV51585,[164],"[34, 5]",2,yes
79,PRV51590,[ 85 198 242],"[10, 5, 14]",3,yes
80,PRV51593,[66],"[5, 22]",2,yes
81,PRV51598,[214 365],"[39, 12, 37, 23]",4,yes
82,PRV51602,[ 89 381],"[10, 3, 50, 5]",4,yes
83,PRV51604,[258 687],"[50, 3, 5]",3,yes
84,PRV51614,[235 432 492 538 627],"[34, 36, 5, 45, 31]",5,yes
85,PRV51629,[216],"[36, 5]",2,yes
86,PRV51632,[272],"[5, 45]",2,yes
87,PRV51638,[431],"[5, 14]",2,yes
88,PRV51809,[74],"[1, 5]",2,yes
89,PRV51810,[548],"[10, 5]",2,yes
90,PRV51811,[682],"[41, 5]",2,yes
91,PRV51828,[312 476],"[32, 49, 5]",3,yes
92,PRV51840,[302 386],"[44, 5, 6]",3,yes
93,PRV51841,[353],"[10, 6]",2,yes
94,PRV51842,[ 68 137 252 427 499 606 632 665],"[33, 36, 6, 39, 10, 49, 28]",7,yes
95,PRV51868,[159 384 534 651],"[5, 38, 6, 21, 24]",5,yes
96,PRV51873,[397 692],"[42, 5, 6]",3,yes
97,PRV51876,[137],"[28, 6]",2,yes
98,PRV51940,[  1 171 273 392 472 479 580 601],"[33, 34, 7, 10, 11, 44, 52, 20]",8,yes
99,PRV51948,[ 32 399 543 577],"[5, 31, 37, 7]",4,yes
100,PRV51949,[105],"[33, 50]",2,yes
101,PRV51951,[341 342 418],"[34, 51, 14, 7]",4,yes
102,PRV51954,[146],"[45, 7]",2,yes
103,PRV51960,[467],"[45, 7]",2,yes
104,PRV51981,[112],"[5, 7]",2,yes
105,PRV52002,[311],"[34, 21]",2,yes
106,PRV52003,[ 40 114 192 442 484 634],"[36, 39, 9, 45, 18, 52, 21, 22]",8,yes
107,PRV52017,[545],"[16, 10]",2,yes
108,PRV52019,"[  3   6  29  78  96 161 170 237 261 307 313 419 424 437 507 565 599 667
 677 685 691]","[1, 3, 4, 5, 7, 10, 11, 14, 15, 22, 23, 24, 28, 31, 33, 34, 39, 42, 45, 54]",20,yes
109,PRV52020,[ 63 158 203 385],"[34, 4, 39, 10, 42, 45, 52, 23]",8,yes
110,PRV52021,[ 92 252 345 380 550 641],"[34, 6, 39, 10, 44, 14, 21, 22]",8,yes
111,PRV52027,[  8 356 635],"[10, 50, 22, 23, 31]",5,yes
112,PRV52028,[672],"[54, 14]",2,yes
113,PRV52032,[141],"[12, 23]",2,yes
114,PRV52038,[405],"[1, 31]",2,yes
115,PRV52044,[116 520],"[33, 36, 10, 44, 18, 23, 26]",7,yes
116,PRV52045,[681],[10],1,no
117,PRV52063,[568 579],"[33, 10, 52]",3,yes
118,PRV52064,[291 536 554],"[5, 10, 49, 22, 24]",5,yes
119,PRV52065,[131 177 300 436 448 449 548],"[33, 5, 10, 42, 15, 49, 23]",7,yes
120,PRV52072,[200 454],"[10, 5, 14]",3,yes
121,PRV52073,[188 289 353],"[36, 4, 6, 10, 31]",5,yes
122,PRV52076,[175],"[10, 14]",2,yes
123,PRV52077,[632],"[10, 6]",2,yes
124,PRV52079,[213],"[44, 23]",2,yes
125,PRV52087,[392],"[10, 7]",2,yes
126,PRV52100,[387],"[10, 5]",2,yes
127,PRV52114,[ 89 178 307 689],"[33, 3, 7, 10, 45]",5,yes
128,PRV52115,[33],"[10, 14]",2,yes
129,PRV52120,[ 34 428 537 620 659],"[10, 46, 14, 18, 50]",5,yes
130,PRV52123,[316 411 416 456],"[3, 39, 42, 10, 14, 21]",6,yes
131,PRV52124,[543],"[31, 7]",2,yes
132,PRV52126,[630],[23],1,no
133,PRV52128,[198 322 551],"[10, 5, 31]",3,yes
134,PRV52130,[30],"[25, 10]",2,yes
135,PRV52135,[106 158 441 455 473 487 573],"[34, 3, 4, 39, 10, 45, 52, 31]",8,yes
136,PRV52136,[ 54 251],"[10, 52, 50, 14]",4,yes
137,PRV52146,[223],"[10, 5]",2,yes
138,PRV52148,[39],"[10, 38]",2,yes
139,PRV52150,[201 410],"[33, 11, 21, 23]",4,yes
140,PRV52151,[319 498],"[10, 14, 22]",3,yes
141,PRV52152,[171 195 243 420],"[33, 36, 39, 7, 44, 14, 49, 23]",8,yes
142,PRV52173,[246 308],"[10, 45, 5]",3,yes
143,PRV52176,[679 700],"[10, 34, 26, 23]",4,yes
144,PRV52178,[ 41  45 127 248 344 347 477],"[33, 3, 38, 7, 10, 45, 31]",7,yes
145,PRV52195,[189],"[10, 31]",2,yes
146,PRV52266,[657],"[10, 14]",2,yes
147,PRV52279,[571],"[10, 47]",2,yes
148,PRV52280,[ 29 434 646],"[34, 4, 5, 7, 10]",5,yes
149,PRV52281,[590],"[1, 10]",2,yes
150,PRV52283,[162 238 250 298 561 612 659],"[33, 34, 10, 44, 45, 15]",6,yes
151,PRV52285,[315 660],"[10, 52, 53]",3,yes
152,PRV52291,[331],[10],1,no
153,PRV52292,[628],"[10, 31]",2,yes
154,PRV52295,[496],"[1, 37]",2,yes
155,PRV52303,[333 702],"[19, 11, 39]",3,yes
156,PRV52307,[539 638],"[33, 34, 38]",3,yes
157,PRV52308,[ 28 502],"[11, 36, 39]",3,yes
158,PRV52314,[201],"[11, 23]",2,yes
159,PRV52320,[ 73 275],"[42, 11, 5, 54]",4,yes
160,PRV52321,[527],"[11, 5]",2,yes
161,PRV52340,[ 57  93 130 226 299 351 459 505 558 591 610 622 698],"[32, 33, 1, 3, 36, 37, 39, 11, 44, 45, 14, 19, 22]",13,yes
162,PRV52342,[273 417],"[11, 38, 7]",3,yes
163,PRV52343,[697],"[50, 11]",2,yes
164,PRV52347,[56],"[11, 4, 39]",3,yes
165,PRV52359,[118 241 530],"[33, 10, 11, 45]",4,yes
166,PRV52362,[582],"[26, 11]",2,yes
167,PRV52366,[236 321],"[33, 11, 5, 54]",4,yes
168,PRV52394,[669],"[3, 11]",2,yes
169,PRV52398,[597],"[32, 11]",2,yes
170,PRV52404,[684],"[11, 5]",2,yes
171,PRV52405,[274 278 322],"[10, 11, 44, 5]",4,yes
172,PRV52459,[ 19 507],"[11, 37, 23]",3,yes
173,PRV52460,[88],"[49, 11]",2,yes
174,PRV52461,[267 574],"[33, 11, 14]",3,yes
175,PRV52474,[468],"[44, 12]",2,yes
176,PRV52504,[104],"[33, 13]",2,yes
177,PRV52509,[457],"[13, 31]",2,yes
178,PRV52511,[295 503],"[5, 13, 38, 22]",4,yes
179,PRV52552,[465],"[17, 14]",2,yes
180,PRV52565,[247],"[14, 15]",2,yes
181,PRV52566,[ 23 452],"[10, 23, 15, 39]",4,yes
182,PRV52574,[ 57 220 574 662 667],"[33, 5, 11, 45, 14, 22, 24]",7,yes
183,PRV52582,[431],"[5, 14]",2,yes
184,PRV52589,[ 12 122 389 429],"[46, 14, 18, 24, 25]",5,yes
185,PRV52590,[152 204 599],"[33, 11, 14, 30]",4,yes
186,PRV52609,[672],"[54, 14]",2,yes
187,PRV52617,[637],"[19, 14]",2,yes
188,PRV52630,[175 523 537],"[10, 18, 14]",3,yes
189,PRV52634,[629],"[33, 14]",2,yes
190,PRV52641,[113 134],"[10, 11, 28, 14]",4,yes
191,PRV52642,[ 60  77 143 271 319 474 615],"[33, 34, 39, 10, 44, 14]",6,yes
192,PRV52654,[510 524 631],"[33, 34, 5, 14]",4,yes
193,PRV52706,[674],"[22, 14]",2,yes
194,PRV52717,[129 186 657],"[26, 10, 45, 14]",4,yes
195,PRV52722,[661 668],"[33, 45, 14]",3,yes
196,PRV52723,[121],"[19, 14]",2,yes
197,PRV52821,[ 31 304 565 623 643],"[33, 36, 37, 10, 15, 31]",6,yes
198,PRV52828,[325 349],"[19, 15]",2,yes
199,PRV52836,[594],"[15, 7]",2,yes
200,PRV52842,[ 70 240],"[4, 37, 39, 14, 15]",5,yes
201,PRV52843,[ 90 151 640],"[18, 5, 39]",3,yes
202,PRV52845,[314 489],"[8, 44, 15, 26, 31]",5,yes
203,PRV52846,[ 84 182 653 666],"[42, 45, 15, 19, 26]",5,yes
204,PRV52847,[ 43 207 436],"[33, 10, 14, 15, 26]",5,yes
205,PRV52849,[172],"[33, 14]",2,yes
206,PRV52851,[249],"[51, 15]",2,yes
207,PRV52862,[25],"[33, 15]",2,yes
208,PRV52876,[136],"[45, 15]",2,yes
209,PRV52881,[357],"[36, 15]",2,yes
210,PRV52890,[247],"[14, 15]",2,yes
211,PRV52898,[238 256],"[10, 23, 15]",3,yes
212,PRV52903,[376 440 481],"[52, 5, 14, 15]",4,yes
213,PRV52922,[650],"[45, 15]",2,yes
214,PRV52925,[435],"[34, 15]",2,yes
215,PRV52972,[367],"[21, 15]",2,yes
216,PRV52985,[  9  99 210 279 518 664],"[33, 34, 45, 16, 54, 23]",6,yes
217,PRV52989,[259],"[16, 1]",2,yes
218,PRV52990,[ 86 211],"[16, 26, 54]",3,yes
219,PRV52998,[255 576],"[16, 1, 31]",3,yes
220,PRV53005,[225],"[16, 36]",2,yes
221,PRV53021,[588],[16],1,no
222,PRV53050,[592],"[16, 19]",2,yes
223,PRV53070,[232],"[16, 45]",2,yes
224,PRV53101,[348],"[17, 5]",2,yes
225,PRV53104,[287 359],"[17, 31, 39]",3,yes
226,PRV53111,[465],"[17, 14]",2,yes
227,PRV53121,[179],"[17, 26]",2,yes
228,PRV53124,[398],"[17, 45]",2,yes
229,PRV53129,[153],"[17, 5]",2,yes
230,PRV53141,[173 647 701],"[17, 21, 39, 33]",4,yes
231,PRV53208,[696],"[17, 31]",2,yes
232,PRV53225,[317],"[33, 17]",2,yes
233,PRV53242,[  5 318 542 620 648],"[1, 5, 39, 10, 44, 18]",6,yes
234,PRV53243,[508],"[49, 36]",2,yes
235,PRV53244,[634 636],"[9, 18, 5]",3,yes
236,PRV53260,[433],"[18, 38]",2,yes
237,PRV53265,[370],"[49, 31]",2,yes
238,PRV53266,[ 10 168 458 520],"[34, 36, 10, 44, 14, 18, 23, 30]",8,yes
239,PRV53269,[174 504 523 560 633],"[3, 4, 5, 14, 15, 18, 22, 26, 31]",9,yes
240,PRV53295,[87],"[33, 18]",2,yes
241,PRV53297,[680],"[44, 22]",2,yes
242,PRV53308,[4],"[18, 3]",2,yes
243,PRV53381,[430],"[19, 38]",2,yes
244,PRV53385,[ 62 121 400 592 666],"[33, 14, 15, 16, 19, 54]",6,yes
245,PRV53394,[391],"[19, 45]",2,yes
246,PRV53401,[244 591],"[11, 19, 23]",3,yes
247,PRV53405,[155 637],"[19, 45, 14]",3,yes
248,PRV53408,[58],"[26, 19]",2,yes
249,PRV53421,[338 578 624 693],"[34, 19, 45, 39]",4,yes
250,PRV53442,[349],"[19, 15]",2,yes
251,PRV53444,[62],"[19, 54]",2,yes
252,PRV53461,[297],[19],1,no
253,PRV53489,[605],"[49, 19]",2,yes
254,PRV53590,[702],"[11, 19]",2,yes
255,PRV53598,[608],"[19, 29]",2,yes
256,PRV53601,[618],"[19, 5]",2,yes
257,PRV53602,[607],"[19, 36]",2,yes
258,PRV53618,[310],"[20, 39]",2,yes
259,PRV53668,[479],"[10, 20]",2,yes
260,PRV53671,[296],"[24, 21]",2,yes
261,PRV53673,[453],"[8, 52]",2,yes
262,PRV53675,[227 426 531 598],"[34, 5, 52, 53, 21]",5,yes
263,PRV53677,[ 59 533 644],"[21, 45, 36, 5]",4,yes
264,PRV53692,[337 339 497 526 641],"[38, 42, 45, 14, 51, 21]",6,yes
265,PRV53697,[316 562],"[52, 21, 14]",3,yes
266,PRV53706,[ 81 701],"[25, 21, 17]",3,yes
267,PRV53710,[206 651],"[3, 21, 6]",3,yes
268,PRV53712,[224 334 410 490 567],"[33, 34, 39, 45, 47, 21]",6,yes
269,PRV53749,[82],"[37, 22]",2,yes
270,PRV53762,[215 324 380],"[24, 10, 27, 22]",4,yes
271,PRV53763,[293 443],"[52, 45, 22]",3,yes
272,PRV53769,[482 558 662],"[33, 5, 11, 45, 14, 22]",6,yes
273,PRV53770,[ 40 280],"[45, 21, 22]",3,yes
274,PRV53776,[552],"[44, 30]",2,yes
275,PRV53781,[ 10 513],"[33, 18, 30]",3,yes
276,PRV53787,[ 35 556 674],"[52, 14, 22, 23]",4,yes
277,PRV53790,[ 66 108 395],"[34, 45, 5, 22]",4,yes
278,PRV53802,[295],"[38, 22]",2,yes
279,PRV53807,[498 680],"[10, 44, 22]",3,yes
280,PRV53808,[ 75 119 163 560 610 682],"[34, 5, 41, 10, 42, 11, 18, 22, 31]",9,yes
281,PRV53855,[3],"[11, 22]",2,yes
282,PRV53865,[544],"[50, 22]",2,yes
283,PRV53867,[704],[23],1,no
284,PRV53872,[642],"[43, 23]",2,yes
285,PRV53873,[ 76 133 630 695],"[36, 45, 54, 23]",4,yes
286,PRV53878,[197],"[32, 23]",2,yes
287,PRV53884,[  8 166 354 448 520],"[36, 10, 44, 18, 23, 31]",6,yes
288,PRV53910,[244 518],"[16, 19, 54, 23]",4,yes
289,PRV53911,[529],"[5, 23]",2,yes
290,PRV53932,[256 304 500 584 704],"[4, 10, 15, 23, 31]",5,yes
291,PRV53951,[556 564],"[33, 22, 23]",3,yes
292,PRV53959,[559],"[34, 23]",2,yes
293,PRV53961,[ 99 199 452 595 686 700],"[33, 39, 10, 15, 16, 23, 24, 25]",8,yes
294,PRV53986,[509],"[23, 31]",2,yes
295,PRV53996,[540],"[18, 23]",2,yes
296,PRV54051,[393],"[52, 23]",2,yes
297,PRV54058,[688],"[51, 23]",2,yes
298,PRV54059,[501],"[27, 23]",2,yes
299,PRV54064,[595],"[24, 23]",2,yes
300,PRV54065,[296],"[24, 21]",2,yes
301,PRV54076,[346],"[24, 33]",2,yes
302,PRV54078,[375 536],"[24, 34, 10]",3,yes
303,PRV54081,[588],[16],1,no
304,PRV54089,[180],"[24, 17]",2,yes
305,PRV54090,[159],"[24, 6]",2,yes
306,PRV54093,[389],"[24, 14]",2,yes
307,PRV54099,[128],"[24, 39]",2,yes
308,PRV54106,[160],"[24, 5]",2,yes
309,PRV54111,[425],[24],1,no
310,PRV54205,[ 37 215 245],"[24, 5, 22]",3,yes
311,PRV54208,[126 694],"[25, 36, 46]",3,yes
312,PRV54209,[475],"[25, 31]",2,yes
313,PRV54213,[120],"[25, 28]",2,yes
314,PRV54228,[613],"[33, 25]",2,yes
315,PRV54230,[369],"[25, 1]",2,yes
316,PRV54244,[429],"[25, 14]",2,yes
317,PRV54258,[ 30  81 406],"[25, 10, 26, 21]",4,yes
318,PRV54327,[275 532],"[42, 26, 44, 54]",4,yes
319,PRV54328,[156],"[26, 34]",2,yes
320,PRV54330,[ 86 679],"[16, 26, 10, 34]",4,yes
321,PRV54333,[ 58 423 569],"[33, 26, 19, 31]",4,yes
322,PRV54337,[ 14  71  94 412 670],"[36, 39, 8, 44, 14, 26]",6,yes
323,PRV54339,[690],"[26, 29]",2,yes
324,PRV54342,[439],"[26, 5]",2,yes
325,PRV54348,[314],"[26, 44, 31, 15]",4,yes
326,PRV54350,[183 383 406 652],"[33, 34, 4, 25, 26]",5,yes
327,PRV54354,[148],[26],1,no
328,PRV54361,[80],"[26, 27]",2,yes
329,PRV54363,[354],"[18, 23]",2,yes
330,PRV54367,[ 14  33  85 129 155 174 207 290 332 355 418 438 454 458 653],"[4, 5, 39, 7, 10, 11, 45, 14, 15, 49, 18, 26]",12,yes
331,PRV54378,[190 483],"[32, 26, 14, 39]",4,yes
332,PRV54379,[582],"[26, 11]",2,yes
333,PRV54381,[132 283],"[26, 37, 14, 39]",4,yes
334,PRV54382,[116],"[33, 26]",2,yes
335,PRV54390,[603],"[44, 37]",2,yes
336,PRV54391,[ 26 194],"[26, 45, 31]",3,yes
337,PRV54399,[179],"[17, 26]",2,yes
338,PRV54402,[600],"[26, 39]",2,yes
339,PRV54409,[549],"[26, 5]",2,yes
340,PRV54504,[80],"[26, 27]",2,yes
341,PRV54506,[654],"[27, 5]",2,yes
342,PRV54507,[324 617],"[34, 27, 22]",3,yes
343,PRV54514,[239 531 660],"[5, 10, 53, 21, 27]",5,yes
344,PRV54531,[501],"[27, 23]",2,yes
345,PRV54559,[120],"[25, 28]",2,yes
346,PRV54560,[134],"[11, 28]",2,yes
347,PRV54565,[ 46 611],"[33, 50, 52, 28]",4,yes
348,PRV54566,[265],"[28, 45]",2,yes
349,PRV54567,[180],"[24, 17]",2,yes
350,PRV54575,[460 685],"[10, 28, 36]",3,yes
351,PRV54577,[363 525],"[33, 34, 51, 28]",4,yes
352,PRV54640,[534],"[38, 6]",2,yes
353,PRV54649,[586 690],"[26, 29, 5, 39]",4,yes
354,PRV54658,[292 529],"[42, 5, 23]",3,yes
355,PRV54661,[403],"[50, 29]",2,yes
356,PRV54676,[521],"[52, 29]",2,yes
357,PRV54686,[224],"[21, 47]",2,yes
358,PRV54688,[218],"[50, 30]",2,yes
359,PRV54692,[204],"[14, 30]",2,yes
360,PRV54705,[24],"[33, 47]",2,yes
361,PRV54718,[64],"[42, 30]",2,yes
362,PRV54724,[628],"[10, 31]",2,yes
363,PRV54742,[ 48  75 145 189 419 504 551 569],"[33, 4, 5, 10, 45, 18, 22, 26, 31]",9,yes
364,PRV54757,[285 593 614],"[1, 4, 5, 31]",4,yes
365,PRV54760,[320 405],"[1, 14, 31]",3,yes
366,PRV54765,[165 166 314 396 450 457 509],"[5, 39, 44, 13, 15, 23, 26, 31]",8,yes
367,PRV54771,[409],"[33, 31]",2,yes
368,PRV54772,[ 36 475 649],"[25, 36, 33, 31]",4,yes
369,PRV54774,[566],"[36, 31]",2,yes
370,PRV54776,[589],"[10, 31]",2,yes
371,PRV54778,[370 623],"[49, 15, 31]",3,yes
372,PRV54781,[ 47 334 696],"[36, 39, 17, 21, 31]",5,yes
373,PRV54787,[235 359],"[17, 5, 31]",3,yes
374,PRV54812,[517],"[45, 31]",2,yes
375,PRV54822,[ 41 576],"[16, 10, 31]",3,yes
376,PRV54845,[51],"[32, 4]",2,yes
377,PRV54847,[476 483],"[32, 5, 14]",3,yes
378,PRV54875,[222],"[32, 34]",2,yes
379,PRV54879,[118 568 609],"[33, 10, 11, 45]",4,yes
380,PRV54882,[130],"[33, 11]",2,yes
381,PRV54885,[133],"[54, 23]",2,yes
382,PRV54889,[347],"[33, 10]",2,yes
383,PRV54894,[ 24 102 104 181 343 594 611 649],"[33, 34, 36, 7, 13, 47, 15, 28, 31]",9,yes
384,PRV54896,[172 270],"[33, 4, 14]",3,yes
385,PRV54902,[404],"[33, 5]",2,yes
386,PRV54905,[152],"[33, 14]",2,yes
387,PRV54909,[340],"[5, 54]",2,yes
388,PRV54917,[145],"[33, 31]",2,yes
389,PRV54924,[471],"[24, 33]",2,yes
390,PRV54933,[524 564],"[33, 14, 23]",3,yes
391,PRV54936,[ 43 317 686],"[33, 10, 17, 23]",4,yes
392,PRV54937,[613],"[33, 25]",2,yes
393,PRV54949,[409],"[33, 31]",2,yes
394,PRV54952,[584],"[10, 31]",2,yes
395,PRV54955,[185 286 362 539 580],"[33, 34, 3, 7, 45]",5,yes
396,PRV54970,[303],"[33, 52]",2,yes
397,PRV54971,[ 50 250],"[33, 10, 36, 38]",4,yes
398,PRV54981,[327 451 513 587 619],"[33, 5, 42, 45, 30]",5,yes
399,PRV54986,[  9  26 178 266 346 652],"[33, 10, 45, 16, 24, 26, 31]",7,yes
400,PRV54997,[173],"[17, 33]",2,yes
401,PRV55000,[102 248 514],"[33, 10, 5, 7]",4,yes
402,PRV55003,[668],"[33, 14]",2,yes
403,PRV55004,[87],"[33, 18]",2,yes
404,PRV55005,[ 25 421],"[33, 36, 15]",3,yes
405,PRV55018,[445],[33],1,no
406,PRV55019,[ 52 267 300 321 390 511 629],"[33, 3, 36, 10, 11, 45, 14]",7,yes
407,PRV55028,[262],"[33, 46]",2,yes
408,PRV55030,[44],"[33, 45]",2,yes
409,PRV55034,[464],"[33, 39]",2,yes
410,PRV55039,[400],"[33, 19]",2,yes
411,PRV55048,[408],"[33, 36]",2,yes
412,PRV55049,[298 606],"[33, 10, 6]",3,yes
413,PRV55051,[363],"[33, 51, 28]",3,yes
414,PRV55121,[110],"[33, 5]",2,yes
415,PRV55124,[ 60 662],"[33, 5, 14, 22]",4,yes
416,PRV55126,[423],"[33, 26]",2,yes
417,PRV55145,[452],"[23, 15, 39]",3,yes
418,PRV55155,[619],[33],1,no
419,PRV55156,[15],"[33, 4]",2,yes
420,PRV55157,[585],"[33, 5]",2,yes
421,PRV55158,[ 20 241],"[33, 10, 11, 5]",4,yes
422,PRV55165,[535],"[34, 5]",2,yes
423,PRV55169,[341 538],"[34, 5, 7]",3,yes
424,PRV55171,[  7 168],"[49, 18, 34, 5]",4,yes
425,PRV55172,[164 401 559],"[34, 5, 23]",3,yes
426,PRV55179,[140 261 578],"[19, 33, 34, 3]",4,yes
427,PRV55180,[11],"[49, 34]",2,yes
428,PRV55189,[486],"[34, 45]",2,yes
429,PRV55193,[345],"[10, 34]",2,yes
430,PRV55194,[184 277 407 510],"[34, 3, 45, 14]",4,yes
431,PRV55205,[156 343 446],"[33, 34, 39, 10, 26]",5,yes
432,PRV55208,[108],"[34, 22]",2,yes
433,PRV55209,[  1  38  88  91 119 143 311 375 413 604 617 664 678],"[34, 36, 7, 10, 11, 14, 16, 49, 50, 21, 24, 27]",12,yes
434,PRV55215,[ 91 147 279 331 455 522 621 691],"[34, 36, 39, 10, 42, 14, 16, 49, 54]",9,yes
435,PRV55229,[ 11 401],"[49, 34]",2,yes
436,PRV55230,[183 222 269 377 382 525 547 596 683],"[32, 34, 5, 41, 45, 26, 28]",7,yes
437,PRV55232,[434],"[10, 34]",2,yes
438,PRV55236,[124 227],"[34, 52, 21]",3,yes
439,PRV55237,[234],"[34, 36]",2,yes
440,PRV55240,[286],"[33, 34]",2,yes
441,PRV55250,[379],"[34, 4]",2,yes
442,PRV55262,[675],"[42, 45]",2,yes
443,PRV55374,[567],"[34, 21]",2,yes
444,PRV55378,[561],"[10, 34]",2,yes
445,PRV55381,[435],"[34, 15]",2,yes
446,PRV55387,[203],"[34, 39]",2,yes
447,PRV55435,[ 22  28  50  68 225 408 413 520],"[33, 34, 36, 38, 6, 10, 11, 44, 16, 18, 51, 23]",12,yes
448,PRV55443,[47],"[31, 36, 39]",3,yes
449,PRV55444,[216 263 372 414 512],"[37, 36, 5, 44]",4,yes
450,PRV55452,[55],"[51, 5]",2,yes
451,PRV55453,[581],[39],1,no
452,PRV55462,"[ 38  52  94  98 181 188 195 202 208 233 264 288 309 326 415 421 528 533
 607]","[33, 34, 1, 36, 5, 38, 39, 8, 45, 46, 49, 19, 21, 26, 31]",15,yes
453,PRV55472,[460],"[28, 36]",2,yes
454,PRV55482,[695],"[36, 23]",2,yes
455,PRV55490,[ 83 109 126 187],"[32, 25, 36, 39]",4,yes
456,PRV55492,[643],"[36, 15]",2,yes
457,PRV55495,[288],[36],1,no
458,PRV55506,[557],"[36, 39]",2,yes
459,PRV55507,[100],"[36, 54]",2,yes
