,Provider,PotentialFraud,DurationMedianIP,DurationMeanIP,DurationMedianOP,DurationMeanOP,Serves,ChronCondsMedian,ChronCondsMean,ChronConsMode,PtAgeMedian,PtAgeMean,NumPtsIP,NumPtsOP,NumStatesIP,NumStatesOP,SharePhysician,MergeTotalClaim,MergeTotalPatient,MergeAvgClaimReimbursed,NumTopCodeClaim,DupClaimNum_IP,DupClaimRatio_IP,DupClaim_IP,DupClaimStatesNum_IP,DupClaimMultiState_IP,DupClaimProviderNum_IP,DupClaimMultiProvider_IP,DupClaimStartDtNum_IP,DupClaimMultiStartDt_IP,DupClaimNum_OP,DupClaimRatio_OP,DupClaim_OP,DupClaimStatesNum_OP,DupClaimMultiState_OP,DupClaimProviderNum_OP,DupClaimMultiProvider_OP,DupClaimStartDtNum_OP,DupClaimMultiStartDt_OP,AvgDuration,NumOfPt,NumOfClm,ClmPerPt,TotalRev,RevPerPt,ClmNoPhy,ClmAllPhy,ClmNoProc,ClmPerDay
16,PRV51025,No,5.0,7.0,0.0,1.3243243243243243,Both,7.0,6.781609195402299,7.0,74.0,73.06896551724138,12.0,66.0,2.0,2.0,1.0,87,76,1360.344827586207,6.0,no,0.0,no,0.0,none,0.0,none,0.0,none,yes,0.4189189189189189,yes,52.0,yes,2097.0,yes,367.0,yes,2.17,76,87,1.14,132634,1745.18,1,6,77,75
17,PRV51026,No,0.0,0.0,0.0,1.0921052631578947,OP,7.0,7.078947368421052,8.0,70.5,69.11842105263158,0.0,56.0,0.0,3.0,1.0,76,56,261.0526315789473,1.0,0,0.0,none,0.0,none,0.0,none,0.0,none,yes,0.5789473684210527,yes,52.0,yes,1391.0,yes,369.0,yes,1.09,56,76,1.36,20180,360.36,0,6,76,73
18,PRV51027,No,0.0,0.0,0.0,2.1320754716981134,OP,6.0,6.471698113207547,7.0,74.0,72.50943396226415,0.0,44.0,0.0,2.0,1.0,53,44,563.0188679245283,0.0,0,0.0,none,0.0,none,0.0,none,0.0,none,yes,0.5660377358490566,yes,52.0,yes,3018.0,yes,378.0,yes,2.13,44,53,1.2,29840,678.18,0,3,53,51
19,PRV51029,No,0.0,0.0,0.0,0.6989247311827957,OP,7.0,7.225806451612903,7.0,73.0,70.41935483870968,0.0,79.0,0.0,6.0,1.0,93,79,329.67741935483866,2.0,0,0.0,none,0.0,none,0.0,none,0.0,none,yes,0.3440860215053764,yes,51.0,yes,997.0,yes,362.0,yes,0.7,79,93,1.18,30820,390.13,0,7,93,84
20,PRV51030,No,4.0,4.621951219512195,0.0,1.8876404494382022,Both,6.0,6.485380116959064,5.0,73.0,71.39766081871345,71.0,78.0,1.0,2.0,1.0,171,145,4326.081871345029,25.0,yes,0.024390243902439025,yes,3.0,yes,3.0,yes,4.0,yes,yes,0.4719101123595506,yes,52.0,yes,2686.0,yes,375.0,yes,3.2,145,171,1.18,820508,5658.68,0,4,125,141
21,PRV51031,No,3.5,5.535714285714286,0.0,1.3694267515923566,Both,6.0,6.254054054054054,7.0,74.0,72.14594594594594,26.0,135.0,2.0,3.0,1.0,185,157,1944.4324324324325,12.0,no,0.0,no,0.0,none,0.0,none,0.0,none,yes,0.4585987261146497,yes,52.0,yes,3020.0,yes,376.0,yes,2.0,157,185,1.18,389964,2483.85,0,6,165,146
22,PRV51032,No,0.0,0.0,0.0,0.9130434782608695,OP,8.0,6.695652173913044,8.0,72.0,69.0,0.0,21.0,0.0,3.0,1.0,23,21,235.65217391304347,0.0,0,0.0,none,0.0,none,0.0,none,0.0,none,yes,0.5217391304347826,yes,48.0,yes,483.0,yes,311.0,yes,0.91,21,23,1.1,5470,260.48,0,3,23,23
23,PRV51035,No,14.0,14.0,0.0,1.8620689655172413,Both,6.0,6.333333333333333,6.0,76.5,73.4,1.0,24.0,1.0,2.0,1.0,30,25,1085.3333333333333,0.0,no,0.0,no,0.0,none,0.0,none,0.0,none,yes,0.5862068965517241,yes,52.0,yes,2329.0,yes,371.0,yes,2.27,25,30,1.2,33988,1359.52,0,1,29,30
24,PRV51036,No,0.0,0.0,0.0,1.0503597122302157,OP,7.0,6.758992805755396,6.0,73.0,72.12949640287769,0.0,131.0,0.0,1.0,1.0,278,131,269.3525179856115,5.0,0,0.0,none,0.0,none,0.0,none,0.0,none,yes,0.4172661870503597,yes,52.0,yes,3393.0,yes,380.0,yes,1.05,131,278,2.12,76290,582.37,0,25,278,186
25,PRV51037,Yes,3.0,4.521739130434782,0.0,1.3735498839907192,Both,6.0,6.488986784140969,5.0,72.0,71.42290748898678,21.0,202.0,1.0,1.0,1.0,454,206,753.8105726872246,10.0,yes,0.043478260869565216,yes,2.0,yes,2.0,yes,2.0,yes,yes,0.43387470997679817,yes,52.0,yes,3396.0,yes,381.0,yes,1.53,206,454,2.2,367754,1785.21,3,37,445,274
26,PRV51038,No,3.0,4.033333333333333,0.0,1.1711711711711712,Both,6.0,6.382978723404255,7.0,73.0,71.07801418439716,26.0,83.0,2.0,2.0,1.0,141,107,1882.90780141844,20.0,yes,0.06666666666666668,yes,3.0,yes,3.0,yes,4.0,yes,yes,0.5045045045045045,yes,52.0,yes,2691.0,yes,372.0,yes,1.78,107,141,1.32,289682,2707.31,0,9,129,115
27,PRV51040,No,4.0,10.555555555555555,0.0,0.6233766233766234,Both,7.0,6.77906976744186,8.0,73.0,70.74418604651163,8.0,62.0,2.0,1.0,1.0,86,69,865.9302325581397,9.0,yes,0.1111111111111111,yes,2.0,yes,2.0,yes,2.0,yes,yes,0.42857142857142855,yes,52.0,yes,2895.0,yes,375.0,yes,1.66,69,86,1.25,80254,1163.1,2,6,80,74
28,PRV51041,No,0.0,0.0,0.0,2.3529411764705883,OP,7.0,7.0,6.0,71.5,69.88235294117646,0.0,31.0,0.0,1.0,1.0,34,31,217.94117647058826,1.0,0,0.0,none,0.0,none,0.0,none,0.0,none,yes,0.4411764705882353,yes,52.0,yes,638.0,yes,351.0,yes,2.35,31,34,1.1,7680,247.74,0,2,34,33
29,PRV51042,No,0.0,0.0,0.0,1.232394366197183,OP,7.0,7.084507042253521,6.0,73.0,72.1056338028169,0.0,128.0,0.0,9.0,1.0,142,128,338.38028169014086,4.0,0,0.0,none,0.0,none,0.0,none,0.0,none,yes,0.471830985915493,yes,52.0,yes,3194.0,yes,375.0,yes,1.23,128,142,1.11,48360,377.81,0,18,142,119
30,PRV51043,No,0.0,0.0,0.0,0.0,OP,7.0,6.782608695652174,7.0,73.0,73.6086956521739,0.0,20.0,0.0,2.0,1.0,23,20,194.7826086956522,0.0,0,0.0,none,0.0,none,0.0,none,0.0,none,yes,0.5652173913043478,yes,52.0,yes,861.0,yes,363.0,yes,0.0,20,23,1.15,4480,224.0,0,2,23,23
31,PRV51044,No,0.0,0.0,0.0,2.152542372881356,OP,7.0,6.627118644067797,6.0,70.0,68.67796610169492,0.0,39.0,0.0,1.0,1.0,59,39,361.5254237288136,1.0,0,0.0,none,0.0,none,0.0,none,0.0,none,yes,0.3898305084745763,yes,52.0,yes,2386.0,yes,371.0,yes,2.15,39,59,1.51,21460,550.26,0,5,59,56
32,PRV51045,No,0.0,0.0,0.0,2.2580645161290325,OP,6.0,6.709677419354839,6.0,70.0,70.90322580645162,0.0,29.0,0.0,3.0,1.0,31,29,270.64516129032256,1.0,0,0.0,none,0.0,none,0.0,none,0.0,none,yes,0.4516129032258064,yes,50.0,yes,366.0,yes,271.0,yes,2.26,29,31,1.07,8430,290.69,0,4,31,30
33,PRV51046,No,3.0,4.5,0.0,0.8666666666666667,Both,5.5,6.0,7.0,72.0,71.65789473684211,7.0,19.0,1.0,1.0,1.0,38,26,2878.157894736842,6.0,no,0.0,no,0.0,none,0.0,none,0.0,none,yes,0.5333333333333333,yes,52.0,yes,2399.0,yes,371.0,yes,1.63,26,38,1.46,118014,4539.0,0,6,33,35
34,PRV51047,No,0.0,0.0,0.0,3.090909090909091,OP,7.0,7.090909090909091,7.5,71.0,70.0,0.0,11.0,0.0,2.0,1.0,11,11,230.0,1.0,0,0.0,none,0.0,none,0.0,none,0.0,none,yes,0.4545454545454545,yes,50.0,yes,692.0,yes,340.0,yes,3.09,11,11,1.0,2530,230.0,0,1,11,11
35,PRV51048,No,4.0,4.75,0.0,0.11764705882352941,Both,7.0,6.184210526315789,6.666666666666667,69.5,69.8157894736842,4.0,30.0,1.0,1.0,1.0,38,33,728.9473684210526,4.0,no,0.0,no,0.0,none,0.0,none,0.0,none,yes,0.5294117647058824,yes,52.0,yes,2643.0,yes,371.0,yes,0.61,33,38,1.15,32052,971.27,0,3,35,35
36,PRV51049,No,0.0,0.0,0.0,1.7887323943661972,OP,6.0,6.577464788732394,6.0,72.0,70.30985915492958,0.0,65.0,0.0,4.0,1.0,71,65,305.9154929577465,3.0,0,0.0,none,0.0,none,0.0,none,0.0,none,yes,0.4366197183098591,yes,52.0,yes,2619.0,yes,375.0,yes,1.79,65,71,1.09,21910,337.08,0,4,71,65
37,PRV51052,Yes,9.0,9.0,0.0,1.9772727272727273,Both,7.0,7.043478260869565,8.0,71.5,71.1304347826087,2.0,36.0,1.0,1.0,1.0,46,37,669.5652173913044,4.0,no,0.0,no,0.0,none,0.0,none,0.0,none,yes,0.4090909090909091,yes,52.0,yes,1909.0,yes,365.0,yes,2.28,37,46,1.24,33146,895.84,0,3,45,42
38,PRV51053,No,5.0,5.0,0.0,0.0,IP,8.0,8.0,8.0,68.0,68.0,1.0,0.0,1.0,0.0,0.0,1,1,8000.0,1.0,no,0.0,no,0.0,none,0.0,none,0.0,none,0,0.0,none,0.0,none,0.0,none,0.0,none,5.0,1,1,1.0,9068,9068.0,0,1,0,1
39,PRV51054,No,0.0,0.0,0.0,2.3508771929824563,OP,7.0,7.701754385964913,7.0,71.0,69.91228070175438,0.0,40.0,0.0,1.0,1.0,57,40,265.43859649122805,1.0,0,0.0,none,0.0,none,0.0,none,0.0,none,yes,0.3508771929824561,yes,52.0,yes,2420.0,yes,375.0,yes,2.35,40,57,1.42,15270,381.75,0,2,57,50
40,PRV51055,No,5.5,5.5,0.0,0.1,Both,7.0,6.545454545454546,7.0,70.5,68.13636363636364,2.0,20.0,1.0,1.0,1.0,22,22,983.6363636363636,1.0,no,0.0,no,0.0,none,0.0,none,0.0,none,yes,0.35,yes,43.0,yes,259.0,yes,204.0,yes,0.59,22,22,1.0,23846,1083.91,0,2,20,22
41,PRV51056,No,3.0,3.0,0.0,0.5,Both,6.0,5.7727272727272725,6.0,77.0,76.27272727272727,2.0,19.0,1.0,1.0,1.0,22,21,668.1818181818181,2.0,no,0.0,no,0.0,none,0.0,none,0.0,none,yes,0.4,yes,49.0,yes,469.0,yes,300.0,yes,0.73,21,22,1.05,16846,802.19,0,4,21,21
42,PRV51057,No,0.0,0.0,0.0,0.0,OP,7.0,7.8,7.0,76.0,77.6,0.0,4.0,0.0,1.0,1.0,5,4,1366.0,0.0,0,0.0,none,0.0,none,0.0,none,0.0,none,yes,0.2,yes,38.0,yes,100.0,yes,93.0,yes,0.0,4,5,1.25,6830,1707.5,0,1,5,5
43,PRV51058,No,7.0,7.4,0.0,0.9102564102564102,Both,7.0,6.650602409638554,7.0,75.0,72.95180722891567,5.0,71.0,1.0,2.0,1.0,83,75,1289.5180722891564,1.0,no,0.0,no,0.0,none,0.0,none,0.0,none,yes,0.3333333333333333,yes,52.0,yes,2573.0,yes,376.0,yes,1.3,75,83,1.11,112570,1500.93,0,10,79,74
44,PRV51059,Yes,5.0,6.88,0.0,0.9295774647887324,Both,7.0,6.979166666666667,7.0,74.0,73.60416666666667,23.0,60.0,1.0,1.0,1.0,96,82,4386.041666666667,13.0,no,0.0,no,0.0,none,0.0,none,0.0,none,yes,0.4929577464788733,yes,52.0,yes,2959.0,yes,374.0,yes,2.48,82,96,1.17,448000,5463.41,0,9,79,83
45,PRV51060,No,4.0,4.8,0.0,1.972972972972973,Both,7.0,6.666666666666667,7.0,72.5,70.85714285714286,5.0,37.0,1.0,2.0,1.0,42,42,1040.7142857142858,6.0,yes,0.2,yes,2.0,yes,2.0,yes,2.0,yes,yes,0.4594594594594595,yes,51.0,yes,1322.0,yes,368.0,yes,2.31,42,42,1.0,49050,1167.86,1,2,42,38
46,PRV51061,No,8.0,8.0,0.0,2.3541666666666665,Both,7.0,7.144827586206897,7.0,77.0,76.47586206896551,1.0,66.0,1.0,2.0,1.0,145,67,378.89655172413785,1.0,no,0.0,no,0.0,none,0.0,none,0.0,none,yes,0.4791666666666667,yes,52.0,yes,2865.0,yes,373.0,yes,2.39,67,145,2.16,56268,839.82,1,14,144,116
47,PRV51062,No,5.0,4.333333333333333,0.0,1.5761421319796953,Both,7.0,6.531486146095718,7.0,74.0,72.28715365239294,3.0,164.0,1.0,1.0,1.0,397,166,386.34760705289665,16.0,no,0.0,no,0.0,none,0.0,none,0.0,none,yes,0.4060913705583756,yes,52.0,yes,3447.0,yes,380.0,yes,1.6,166,397,2.39,157324,947.73,0,32,394,234
48,PRV51063,No,0.0,0.0,0.0,1.610738255033557,OP,7.0,6.76510067114094,4.0,70.0,68.8993288590604,0.0,115.0,0.0,1.0,1.0,149,115,343.02013422818794,3.0,0,0.0,none,0.0,none,0.0,none,0.0,none,yes,0.44966442953020136,yes,52.0,yes,2888.0,yes,373.0,yes,1.61,115,149,1.3,51270,445.83,0,0,149,124
49,PRV51064,Yes,4.0,5.305555555555555,0.0,1.4981273408239701,Both,6.0,6.5049504950495045,5.5,73.0,72.47524752475248,34.0,198.0,2.0,3.0,1.0,303,227,1189.1749174917493,23.0,yes,0.05555555555555555,yes,3.0,yes,3.0,yes,4.0,yes,yes,0.39325842696629215,yes,52.0,yes,3247.0,yes,379.0,yes,1.95,227,303,1.33,399268,1758.89,0,27,283,196
50,PRV51065,No,5.0,5.6,0.0,1.4444444444444444,Both,6.5,6.535714285714286,7.0,77.0,74.64285714285714,10.0,16.0,1.0,1.0,1.0,28,26,2734.642857142857,3.0,yes,0.1,yes,3.0,yes,3.0,yes,3.0,yes,yes,0.3333333333333333,yes,49.0,yes,303.0,yes,234.0,yes,2.93,26,28,1.08,78292,3011.23,0,3,20,27
51,PRV51066,No,2.0,2.0,0.0,1.0,Both,7.0,7.291666666666667,6.0,68.5,68.08333333333333,2.0,19.0,1.0,1.0,1.0,24,21,1032.9166666666667,1.0,no,0.0,no,0.0,none,0.0,none,0.0,none,yes,0.4090909090909091,yes,52.0,yes,2351.0,yes,371.0,yes,1.08,21,24,1.14,27026,1286.95,0,3,22,24
52,PRV51067,Yes,4.0,6.583333333333333,0.0,1.1956521739130435,Both,6.0,6.724137931034483,5.0,71.0,67.43103448275862,11.0,39.0,1.0,1.0,1.0,58,49,5767.586206896552,4.0,no,0.0,no,0.0,none,0.0,none,0.0,none,yes,0.5652173913043478,yes,52.0,yes,2608.0,yes,376.0,yes,2.31,49,58,1.18,347616,7094.2,0,5,49,52
53,PRV51068,No,3.0,3.0,0.0,1.3174603174603174,Both,7.0,6.842911877394636,6.0,70.0,70.22222222222223,9.0,206.0,1.0,2.0,1.0,261,214,548.8888888888888,12.0,no,0.0,no,0.0,none,0.0,none,0.0,none,yes,0.4246031746031746,yes,52.0,yes,3140.0,yes,378.0,yes,1.38,214,261,1.22,144244,674.04,0,23,258,186
54,PRV51070,No,2.5,4.1,0.0,1.6629213483146068,Both,7.0,7.212121212121212,8.0,71.0,69.45454545454545,10.0,61.0,3.0,5.0,1.0,99,69,1266.7676767676767,5.0,no,0.0,no,0.0,none,0.0,none,0.0,none,yes,0.4943820224719101,yes,52.0,yes,2817.0,yes,378.0,yes,1.91,69,99,1.43,136390,1976.67,0,8,95,86
55,PRV51071,No,0.0,0.0,0.0,2.0833333333333335,OP,6.0,6.166666666666667,7.0,68.0,68.04166666666667,0.0,24.0,0.0,2.0,1.0,24,24,356.25,0.0,0,0.0,none,0.0,none,0.0,none,0.0,none,yes,0.25,yes,52.0,yes,1302.0,yes,365.0,yes,2.08,24,24,1.0,8600,358.33,0,2,24,23
56,PRV51072,No,4.0,4.25,0.0,1.375,Both,7.0,6.731132075471698,7.0,72.0,71.8254716981132,12.0,150.0,1.0,3.0,1.0,212,160,562.122641509434,8.0,no,0.0,no,0.0,none,0.0,none,0.0,none,yes,0.4,yes,52.0,yes,2897.0,yes,374.0,yes,1.54,160,212,1.32,127348,795.92,1,15,206,151
57,PRV51074,No,3.0,2.6,0.0,1.7941176470588236,Both,6.0,6.512820512820513,6.0,75.0,72.46153846153847,5.0,34.0,1.0,5.0,1.0,39,39,1055.6410256410256,4.0,no,0.0,no,0.0,none,0.0,none,0.0,none,yes,0.2647058823529412,yes,50.0,yes,847.0,yes,357.0,yes,1.9,39,39,1.0,46590,1194.62,0,4,38,38
58,PRV51075,No,0.0,0.0,0.0,1.1764705882352942,OP,7.0,6.647058823529412,7.0,82.0,76.29411764705883,0.0,13.0,0.0,1.0,1.0,17,13,502.9411764705882,0.0,0,0.0,none,0.0,none,0.0,none,0.0,none,yes,0.4117647058823529,yes,49.0,yes,452.0,yes,313.0,yes,1.18,13,17,1.31,8620,663.08,0,2,17,17
59,PRV51076,No,0.0,0.0,0.0,1.1724137931034482,OP,7.0,6.448275862068965,8.0,76.0,75.20689655172414,0.0,27.0,0.0,1.0,1.0,29,27,352.7586206896552,1.0,0,0.0,none,0.0,none,0.0,none,0.0,none,yes,0.4482758620689655,yes,52.0,yes,1596.0,yes,366.0,yes,1.17,27,29,1.07,10280,380.74,0,2,29,29
60,PRV51077,Yes,4.0,5.9375,0.0,2.5294117647058822,Both,6.0,5.606060606060606,8.0,71.0,69.96969696969697,13.0,17.0,1.0,1.0,1.0,33,30,6192.424242424242,8.0,no,0.0,no,0.0,none,0.0,none,0.0,none,yes,0.5294117647058824,yes,47.0,yes,323.0,yes,240.0,yes,4.18,30,33,1.1,212570,7085.67,0,0,27,32
61,PRV51078,No,5.0,6.666666666666667,0.0,0.07142857142857142,Both,7.0,6.956521739130435,6.5,69.0,70.21739130434783,9.0,14.0,1.0,1.0,1.0,23,23,3403.043478260869,5.0,no,0.0,no,0.0,none,0.0,none,0.0,none,yes,0.2857142857142857,yes,39.0,yes,112.0,yes,103.0,yes,2.65,23,23,1.0,83914,3648.43,0,3,17,22
62,PRV51081,No,6.0,6.0,0.0,1.4845360824742269,Both,7.0,6.64,8.0,74.0,71.735,6.0,125.0,1.0,2.0,1.0,200,131,620.4,6.0,no,0.0,no,0.0,none,0.0,none,0.0,none,yes,0.4329896907216495,yes,52.0,yes,3011.0,yes,379.0,yes,1.62,131,200,1.53,131248,1001.89,2,1,195,156
63,PRV51082,No,0.0,0.0,0.0,1.1764705882352942,OP,8.0,7.352941176470588,8.0,70.5,72.02941176470588,0.0,31.0,0.0,1.0,1.0,34,31,160.88235294117646,1.0,0,0.0,none,0.0,none,0.0,none,0.0,none,yes,0.38235294117647056,yes,52.0,yes,2312.0,yes,371.0,yes,1.18,31,34,1.1,5540,178.71,0,2,34,33
64,PRV51083,No,0.0,0.0,0.0,1.3777777777777778,OP,7.0,6.433333333333334,7.0,75.0,74.26666666666667,0.0,81.0,0.0,3.0,1.0,90,81,201.11111111111111,2.0,0,0.0,none,0.0,none,0.0,none,0.0,none,yes,0.4,yes,52.0,yes,2987.0,yes,373.0,yes,1.38,81,90,1.11,18240,225.19,0,6,90,83
65,PRV51084,Yes,3.0,5.65,0.0,0.7888888888888889,Both,7.0,6.654545454545454,7.0,73.0,71.83636363636364,19.0,67.0,2.0,2.0,1.0,110,85,1959.8181818181815,13.0,no,0.0,no,0.0,none,0.0,none,0.0,none,yes,0.5333333333333333,yes,52.0,yes,3047.0,yes,376.0,yes,1.67,85,110,1.29,237470,2793.76,0,8,100,98
66,PRV51086,No,4.0,4.838709677419355,0.0,2.212962962962963,Both,7.0,6.805755395683454,7.0,76.0,74.13669064748201,30.0,86.0,3.0,3.0,1.0,139,115,3209.856115107914,19.0,yes,0.06451612903225806,yes,4.0,yes,4.0,yes,5.0,yes,yes,0.3888888888888889,yes,52.0,yes,2315.0,yes,369.0,yes,2.8,115,139,1.21,479338,4168.16,0,18,119,116
67,PRV51089,No,4.5,5.166666666666667,0.0,1.3952380952380952,Both,7.0,6.842105263157895,6.0,73.0,70.60526315789474,18.0,179.0,1.0,5.0,1.0,228,197,1012.719298245614,13.0,no,0.0,no,0.0,none,0.0,none,0.0,none,yes,0.4571428571428571,yes,52.0,yes,3100.0,yes,373.0,yes,1.69,197,228,1.16,240596,1221.3,1,18,215,167
68,PRV51090,No,0.0,0.0,0.0,5.714285714285714,OP,6.0,6.714285714285714,6.0,71.0,71.28571428571429,0.0,7.0,0.0,1.0,1.0,7,7,832.8571428571429,0.0,0,0.0,none,0.0,none,0.0,none,0.0,none,yes,0.2857142857142857,yes,49.0,yes,431.0,yes,291.0,yes,5.71,7,7,1.0,5890,841.43,0,1,7,7
