Provider,SharePhysician,MergeTotalClaim,MergeTotalPatient,MergeAvgClaimReimbursed,PotentialFraud,NumTopCodeClaim
PRV51072,1.0,212,160,562.122641509434,No,8.0
PRV51074,1.0,39,39,1055.6410256410256,No,4.0
PRV51075,1.0,17,13,502.94117647058823,No,0.0
PRV51076,1.0,29,27,352.7586206896552,No,1.0
PRV51077,1.0,33,30,6192.424242424242,Yes,8.0
PRV51078,1.0,23,23,3403.0434782608695,No,5.0
PRV51081,1.0,200,131,620.4,No,6.0
PRV51082,1.0,34,31,160.88235294117646,No,1.0
PRV51083,1.0,90,81,201.11111111111111,No,2.0
PRV51084,1.0,110,85,1959.8181818181818,Yes,13.0
PRV51086,1.0,139,115,3209.856115107914,No,19.0
PRV51089,1.0,228,197,1012.719298245614,No,13.0
PRV51090,1.0,7,7,832.8571428571429,No,0.0
PRV51091,1.0,44,44,210.6818181818182,No,2.0
PRV51093,1.0,9,9,1523.3333333333333,No,1.0
PRV51096,1.0,5,5,640.0,No,0.0
PRV51097,1.0,125,71,355.36,No,0.0
PRV51098,1.0,4,4,75.0,No,0.0
PRV51100,1.0,5,5,15600.0,No,0.0
PRV51101,1.0,3,3,5533.333333333333,No,3.0
PRV51102,1.0,12,11,12333.333333333334,No,5.0
PRV51103,1.0,6,4,73.33333333333333,Yes,0.0
PRV51104,1.0,12,9,158.33333333333334,No,0.0
PRV51105,1.0,12,12,545.0,No,0.0
PRV51108,1.0,19,19,8210.526315789473,No,7.0
PRV51109,1.0,3,3,6000.0,No,1.0
PRV51110,1.0,5,5,5400.0,No,1.0
PRV51111,1.0,132,85,415.6060606060606,No,3.0
PRV51112,1.0,304,195,346.2171052631579,No,9.0
PRV51113,1.0,132,78,351.43939393939394,No,2.0
PRV51114,1.0,262,160,292.82442748091603,No,12.0
PRV51115,1.0,7,6,140.0,No,0.0
PRV51117,1.0,12,10,162.5,No,1.0
PRV51118,1.0,16,16,8500.0,No,6.0
PRV51119,1.0,95,81,11374.526315789473,Yes,43.0
PRV51120,1.0,7,7,7428.571428571428,No,4.0
PRV51121,1.0,7,7,11582.857142857143,No,3.0
PRV51123,1.0,31,28,868.0645161290323,No,3.0
PRV51125,1.0,48,32,2735.625,No,5.0
PRV51126,1.0,20,14,8850.0,Yes,8.0
PRV51128,1.0,50,38,2044.4,No,5.0
PRV51129,1.0,96,65,238.75,No,0.0
PRV51130,1.0,7,7,710.0,No,1.0
PRV51131,1.0,8,8,145.0,No,0.0
PRV51132,1.0,8,6,666.25,No,0.0
PRV51134,1.0,15,12,507.3333333333333,No,0.0
PRV51135,1.0,5,2,60.0,No,0.0
PRV51137,1.0,55,51,291.8181818181818,No,1.0
PRV51138,1.0,26,21,516.5384615384615,No,1.0
PRV51139,1.0,43,42,1222.7906976744187,No,6.0
PRV51140,1.0,487,394,930.4517453798768,No,30.0
PRV51141,1.0,71,37,274.50704225352115,No,3.0
PRV51142,1.0,51,38,2050.392156862745,No,5.0
PRV51143,1.0,77,68,265.5844155844156,No,0.0
PRV51144,1.0,30,29,2040.6666666666667,No,4.0
PRV51145,1.0,202,161,7952.227722772277,Yes,84.0
PRV51146,1.0,352,334,4775.3125,Yes,74.0
PRV51147,1.0,32,32,276.875,No,0.0
PRV51148,1.0,330,263,1480.7878787878788,Yes,25.0
PRV51149,1.0,148,136,7572.1621621621625,Yes,49.0
PRV51151,1.0,233,225,863.9484978540772,No,17.0
PRV51152,1.0,83,39,310.48192771084337,No,5.0
PRV51153,1.0,87,83,821.7241379310345,No,3.0
PRV51154,1.0,161,147,284.16149068322983,No,6.0
PRV51155,1.0,115,110,228.95652173913044,No,2.0
PRV51156,1.0,542,425,259.48339483394835,No,12.0
PRV51159,1.0,569,506,1402.091388400703,Yes,44.0
PRV51160,1.0,114,110,7649.298245614035,No,25.0
PRV51164,1.0,391,334,1424.5012787723786,No,18.0
PRV51165,1.0,98,97,3364.285714285714,No,10.0
PRV51166,1.0,5,5,4974.0,No,1.0
PRV51167,1.0,190,182,273.57894736842104,No,4.0
PRV51168,1.0,87,86,924.9425287356322,No,4.0
PRV51169,1.0,77,74,251.6883116883117,No,1.0
PRV51170,1.0,16,16,9113.75,Yes,4.0
PRV51171,1.0,59,59,234.23728813559322,No,0.0
PRV51173,1.0,22,21,4376.818181818182,Yes,3.0
PRV51175,1.0,41,39,235.3658536585366,No,1.0
PRV51176,1.0,445,399,328.0449438202247,No,7.0
PRV51178,1.0,65,64,6633.538461538462,Yes,14.0
PRV51179,1.0,26,26,192.30769230769232,No,1.0
PRV51180,1.0,129,86,730.5426356589147,No,6.0
PRV51181,1.0,10,10,215.0,No,0.0
PRV51183,1.0,113,105,3148.5840707964603,No,19.0
PRV51185,1.0,8,8,198.75,No,0.0
PRV51186,1.0,2,2,50.0,No,0.0
PRV51189,1.0,56,51,156.07142857142858,No,2.0
PRV51190,1.0,66,64,595.6060606060606,No,2.0
PRV51191,1.0,32,30,343.4375,No,0.0
PRV51194,1.0,9,9,2060.0,No,0.0
PRV51196,1.0,720,432,273.69444444444446,No,16.0
PRV51198,1.0,6,3,60.0,No,0.0
PRV51200,1.0,19,16,232.6315789473684,No,1.0
PRV51201,1.0,45,41,236.88888888888889,No,0.0
PRV51202,1.0,12,12,417.5,No,0.0
PRV51203,1.0,21,20,730.4761904761905,No,1.0
PRV51204,1.0,499,398,310.9819639278557,No,11.0
PRV51205,1.0,10,10,466.0,No,0.0
PRV51206,1.0,10,10,156.0,No,0.0
PRV51207,1.0,3,3,17000.0,No,1.0
PRV51209,1.0,42,38,235.95238095238096,No,0.0
PRV51210,1.0,9,9,321.1111111111111,No,0.0
PRV51212,1.0,15,15,417.3333333333333,No,0.0
PRV51213,1.0,2,2,25.0,No,0.0
PRV51214,1.0,8,8,400.0,No,0.0
PRV51215,1.0,10,10,161.0,No,0.0
PRV51216,1.0,71,66,219.1549295774648,No,0.0
PRV51217,1.0,5,5,586.0,No,0.0
PRV51218,1.0,7,7,74.28571428571429,No,0.0
PRV51219,1.0,8,8,666.25,No,1.0
PRV51222,1.0,5,3,172.0,No,0.0
PRV51224,1.0,7,7,447.14285714285717,No,1.0
PRV51225,1.0,8,8,148.75,No,0.0
PRV51226,1.0,20,19,371.5,No,0.0
PRV51228,1.0,5,5,86.0,No,0.0
PRV51229,1.0,47,44,264.0425531914894,No,2.0
PRV51230,1.0,30,30,416.3333333333333,No,1.0
PRV51231,1.0,2,2,8000.0,No,0.0
PRV51232,1.0,1,1,26000.0,No,1.0
PRV51233,1.0,3,3,9000.0,No,1.0
PRV51234,1.0,5,5,5800.0,No,0.0
PRV51235,1.0,2,2,5000.0,No,0.0
PRV51238,1.0,8,8,16500.0,No,1.0
PRV51240,1.0,60,38,1567.0,No,5.0
PRV51241,1.0,60,47,1503.5,No,6.0
PRV51242,1.0,111,87,1055.855855855856,Yes,2.0
PRV51243,1.0,36,15,175.83333333333334,No,2.0
PRV51244,1.0,1415,659,1522.2544169611308,Yes,118.0
PRV51245,1.0,173,58,483.4104046242775,No,4.0
PRV51247,1.0,34,26,2242.3529411764707,No,7.0
PRV51249,1.0,126,101,4137.539682539683,Yes,23.0
PRV51250,1.0,85,71,265.4117647058824,No,2.0
PRV51251,1.0,11,10,326.3636363636364,No,1.0
PRV51252,1.0,87,76,1780.8045977011495,No,10.0
PRV51253,1.0,85,76,255.76470588235293,No,2.0
PRV51255,1.0,74,62,548.2432432432432,No,1.0
PRV51256,1.0,95,80,405.7894736842105,No,1.0
PRV51258,1.0,14,12,7118.571428571428,No,4.0
PRV51259,1.0,21,19,7236.190476190476,No,1.0
PRV51260,1.0,62,55,1490.1612903225807,No,4.0
PRV51261,1.0,142,123,1902.605633802817,No,7.0
PRV51262,1.0,60,52,271.1666666666667,No,1.0
PRV51263,1.0,44,37,4958.409090909091,Yes,9.0
PRV51264,1.0,39,35,135.12820512820514,No,2.0
PRV51265,1.0,160,84,286.0625,No,2.0
PRV51266,1.0,92,82,1118.4782608695652,No,7.0
PRV51267,1.0,14,14,919.2857142857143,No,1.0
PRV51271,1.0,123,90,351.0569105691057,No,5.0
PRV51272,1.0,79,31,642.5316455696203,No,5.0
PRV51273,1.0,553,387,237.50452079566003,No,14.0
PRV51274,1.0,58,48,3029.655172413793,No,7.0
PRV51276,1.0,67,60,1999.7014925373135,No,4.0
PRV51277,1.0,59,54,2393.0508474576272,No,7.0
PRV51279,1.0,224,186,267.14285714285717,No,6.0
PRV51280,1.0,39,34,519.2307692307693,No,1.0
PRV51281,1.0,259,200,345.44401544401546,No,11.0
PRV51282,1.0,59,51,1310.677966101695,No,2.0
PRV51284,1.0,377,223,742.3342175066313,No,13.0
PRV51285,1.0,168,109,1167.3809523809523,No,7.0
PRV51286,1.0,70,62,2073.8571428571427,No,5.0
PRV51287,1.0,78,46,329.4871794871795,No,2.0
PRV51288,1.0,8,8,4670.0,No,2.0
PRV51289,1.0,92,38,503.2608695652174,No,0.0
PRV51290,1.0,113,81,132.65486725663717,No,2.0
PRV51292,1.0,22,16,180.45454545454547,No,0.0
PRV51293,1.0,88,64,240.9090909090909,No,2.0
PRV51295,1.0,7,6,278.57142857142856,No,0.0
PRV51296,1.0,30,27,1287.6666666666667,No,2.0
PRV51297,1.0,70,46,1101.2857142857142,No,2.0
PRV51298,1.0,100,53,311.2,No,6.0
PRV51299,1.0,37,27,168.3783783783784,No,2.0
PRV51300,1.0,52,32,2068.076923076923,No,6.0
PRV51301,1.0,112,63,1222.4107142857142,No,3.0
PRV51302,1.0,43,34,1876.9767441860465,No,4.0
PRV51303,1.0,93,49,388.2795698924731,No,4.0
PRV51304,1.0,51,39,771.5686274509804,No,2.0
PRV51305,1.0,49,29,2314.285714285714,No,3.0
PRV51306,1.0,17,13,217.64705882352942,No,0.0
PRV51307,1.0,37,21,187.56756756756758,No,2.0
PRV51308,1.0,35,31,394.0,No,0.0
PRV51309,1.0,18,17,210.55555555555554,No,1.0
PRV51311,1.0,21,18,762.3809523809524,No,3.0
PRV51312,1.0,46,29,625.8695652173913,No,4.0
PRV51313,1.0,19,16,261.57894736842104,No,0.0
PRV51314,1.0,30,20,215.33333333333334,No,1.0
PRV51315,1.0,47,22,153.40425531914894,No,1.0
PRV51316,1.0,3,3,7000.0,No,2.0
PRV51318,1.0,3,3,4333.333333333333,No,1.0
PRV51322,1.0,12,11,70.83333333333333,No,1.0
PRV51323,1.0,76,32,274.4736842105263,No,2.0
PRV51324,1.0,28,25,333.2142857142857,No,1.0
PRV51325,1.0,15,5,1009.3333333333334,No,0.0
PRV51326,1.0,44,22,318.1818181818182,No,0.0
PRV51327,1.0,41,27,219.26829268292684,No,0.0
PRV51328,1.0,7,5,78.57142857142857,No,0.0
PRV51329,1.0,74,28,261.6216216216216,No,1.0
PRV51330,1.0,19,9,200.52631578947367,No,1.0
PRV51331,1.0,5,4,64.0,No,0.0
PRV51334,1.0,2,2,7500.0,No,1.0
PRV51335,1.0,142,92,324.50704225352115,No,3.0
PRV51336,1.0,69,69,1876.0869565217392,No,7.0
PRV51337,1.0,168,155,2256.5476190476193,Yes,24.0
PRV51338,1.0,128,124,889.53125,Yes,6.0
PRV51340,1.0,151,141,286.158940397351,No,3.0
PRV51341,1.0,71,70,204.64788732394365,No,0.0
PRV51342,1.0,207,179,1723.574879227053,No,13.0
PRV51344,1.0,33,33,795.4545454545455,No,2.0
PRV51345,1.0,49,47,308.57142857142856,No,1.0
PRV51346,1.0,266,246,392.81954887218046,No,4.0
PRV51347,1.0,2067,947,288.7760038703435,Yes,49.0
PRV51348,1.0,55,54,2769.6363636363635,No,9.0
PRV51349,1.0,30,28,1349.3333333333333,No,4.0
PRV51350,1.0,239,232,892.8033472803347,No,12.0
PRV51351,1.0,32,32,338.75,No,1.0
PRV51352,1.0,4,4,1475.0,No,0.0
PRV51353,1.0,18,17,2845.0,No,2.0
PRV51355,1.0,74,69,1960.2702702702702,No,9.0
PRV51356,1.0,95,91,1976.842105263158,No,11.0
PRV51357,1.0,161,149,1274.0993788819876,Yes,5.0
PRV51358,1.0,17,17,3600.5882352941176,No,3.0
PRV51360,1.0,29,29,3249.310344827586,No,1.0
PRV51361,1.0,32,32,245.9375,No,0.0
PRV51362,1.0,44,44,3439.090909090909,No,1.0
PRV51364,1.0,23,23,2427.391304347826,No,5.0
PRV51366,1.0,57,53,321.7543859649123,No,1.0
PRV51368,1.0,4,4,142.5,No,0.0
PRV51369,1.0,2083,963,288.96303408545367,Yes,36.0
PRV51371,1.0,46,45,2024.5652173913043,No,3.0
PRV51376,1.0,51,48,380.7843137254902,No,3.0
PRV51377,1.0,95,94,1304.7368421052631,No,6.0
PRV51378,1.0,161,133,7548.88198757764,Yes,45.0
PRV51379,1.0,22,22,879.0909090909091,No,2.0
PRV51382,1.0,16,16,427.5,No,0.0
PRV51383,1.0,77,77,1408.9610389610389,No,3.0
PRV51386,1.0,382,274,260.0,No,8.0
PRV51387,1.0,59,51,1939.322033898305,No,4.0
PRV51388,1.0,86,81,2221.046511627907,No,10.0
PRV51389,1.0,79,77,1942.6582278481012,No,8.0
PRV51390,1.0,275,253,5844.581818181819,Yes,67.0
PRV51391,1.0,177,166,815.819209039548,No,8.0
PRV51392,1.0,17,15,97.6470588235294,No,0.0
PRV51393,1.0,910,329,996.010989010989,Yes,41.0
PRV51394,1.0,4,4,115.0,No,0.0
PRV51395,1.0,20,20,520.0,No,0.0
PRV51396,1.0,44,43,398.1818181818182,No,2.0
PRV51397,1.0,40,40,446.75,No,0.0
PRV51398,1.0,86,59,360.93023255813955,No,5.0
PRV51399,1.0,211,199,4005.071090047393,Yes,27.0
PRV51401,1.0,42,42,2179.0476190476193,Yes,2.0
PRV51403,1.0,114,101,2429.9122807017543,No,6.0
PRV51404,1.0,59,59,497.45762711864404,No,0.0
PRV51405,1.0,49,47,483.8775510204082,No,1.0
PRV51406,1.0,29,29,3595.1724137931033,No,6.0
PRV51408,1.0,15,15,92.66666666666667,No,0.0
PRV51410,1.0,628,186,282.7229299363057,Yes,19.0
PRV51414,1.0,28,28,1079.642857142857,No,2.0
PRV51415,1.0,51,50,1248.8235294117646,No,3.0
PRV51416,1.0,81,79,316.5432098765432,No,1.0
PRV51418,1.0,61,61,3103.934426229508,No,9.0
PRV51419,1.0,65,64,480.7692307692308,No,3.0
PRV51421,1.0,139,135,6365.323741007194,Yes,43.0
PRV51422,1.0,25,25,1957.2,No,1.0
PRV51424,1.0,86,82,345.0,No,1.0
PRV51425,1.0,33,33,787.5757575757576,No,4.0
PRV51426,1.0,206,91,704.3689320388349,Yes,2.0
PRV51427,1.0,58,56,1013.2758620689655,No,3.0
PRV51428,1.0,66,66,727.8787878787879,No,3.0
PRV51429,1.0,10,10,110.0,No,0.0
PRV51430,1.0,112,101,1908.0357142857142,No,10.0
PRV51431,1.0,49,42,4831.0204081632655,No,10.0
PRV51432,1.0,23,23,2576.9565217391305,No,1.0
PRV51433,1.0,1610,862,282.37888198757764,Yes,38.0
PRV51434,1.0,102,97,2749.901960784314,Yes,15.0
PRV51435,1.0,23,23,1461.7391304347825,No,3.0
PRV51436,1.0,120,116,1611.75,No,15.0
PRV51438,1.0,9,9,2167.777777777778,No,0.0
PRV51439,1.0,42,41,358.0952380952381,No,0.0
PRV51440,1.0,71,71,1498.3098591549297,No,8.0
PRV51441,1.0,85,79,342.70588235294116,No,2.0
PRV51442,1.0,6,6,4328.333333333333,No,0.0
PRV51443,1.0,73,72,464.3835616438356,No,2.0
PRV51444,1.0,42,40,1760.0,No,3.0
PRV51446,1.0,24,24,4057.9166666666665,No,8.0
PRV51447,1.0,89,80,3026.85393258427,Yes,10.0
PRV51448,1.0,51,47,2265.6862745098038,No,4.0
PRV51449,1.0,17,17,4104.705882352941,No,3.0
PRV51451,1.0,6,6,195.0,No,0.0
PRV51453,1.0,12,12,590.0,No,0.0
PRV51454,1.0,34,32,312.6470588235294,No,1.0
PRV51455,1.0,34,34,3342.6470588235293,No,5.0
PRV51456,1.0,135,124,7696.222222222223,No,47.0
PRV51458,1.0,56,55,222.14285714285714,No,1.0
PRV51459,1.0,8240,2857,281.78276699029124,Yes,184.0
PRV51460,1.0,452,413,740.0,No,16.0
PRV51462,1.0,30,29,314.3333333333333,No,0.0
PRV51464,1.0,145,143,265.7241379310345,No,3.0
PRV51465,1.0,7,7,557.1428571428571,No,0.0
PRV51466,1.0,74,71,781.8918918918919,No,3.0
PRV51467,1.0,25,25,2970.4,No,3.0
PRV51468,1.0,159,151,872.1383647798742,No,8.0
PRV51469,1.0,28,28,333.92857142857144,No,0.0
PRV51470,1.0,27,27,1318.148148148148,No,2.0
PRV51471,1.0,180,173,8901.166666666666,Yes,69.0
PRV51472,1.0,16,16,135.625,No,0.0
PRV51474,1.0,71,65,5792.394366197183,No,16.0
PRV51475,1.0,43,42,1700.6976744186047,No,5.0
PRV51476,1.0,18,18,1121.111111111111,No,1.0
PRV51477,1.0,22,22,451.8181818181818,No,1.0
PRV51478,1.0,17,16,231.1764705882353,No,0.0
PRV51479,1.0,228,217,590.4824561403509,No,15.0
PRV51480,1.0,1924,759,289.95841995841994,Yes,43.0
PRV51482,1.0,91,90,2400.769230769231,Yes,8.0
PRV51483,1.0,77,75,784.4155844155844,No,3.0
PRV51484,1.0,86,75,274.06976744186045,No,3.0
PRV51486,1.0,214,132,250.74766355140187,No,6.0
PRV51487,1.0,13,12,710.7692307692307,No,1.0
PRV51488,1.0,272,260,400.4779411764706,No,9.0
PRV51490,1.0,64,56,6907.34375,Yes,15.0
PRV51491,1.0,71,63,950.4225352112676,No,6.0
PRV51492,1.0,81,80,1858.641975308642,No,6.0
PRV51494,1.0,38,37,459.2105263157895,No,1.0
PRV51495,1.0,141,127,5997.801418439716,Yes,38.0
PRV51496,1.0,123,105,237.8048780487805,No,4.0
PRV51497,1.0,15,15,6946.0,No,3.0
PRV51499,1.0,474,341,290.80168776371306,No,7.0
PRV51500,1.0,8,8,137.5,No,0.0
PRV51501,1.0,233,217,8889.742489270386,Yes,85.0
PRV51502,1.0,31,31,270.64516129032256,No,0.0
PRV51503,1.0,57,52,422.280701754386,No,4.0
PRV51504,1.0,128,123,275.703125,No,2.0
PRV51505,1.0,15,15,162.0,No,0.0
PRV51507,1.0,1013,726,333.01085883514315,Yes,23.0
PRV51508,1.0,202,191,1183.4158415841584,No,7.0
PRV51509,1.0,1030,493,312.747572815534,No,29.0
PRV51510,1.0,57,52,351.2280701754386,No,1.0
PRV51511,1.0,16,16,547.5,No,0.0
PRV51514,1.0,93,88,2572.2580645161293,No,12.0
PRV51515,1.0,48,48,1100.0,No,3.0
PRV51516,1.0,40,39,831.5,No,3.0
PRV51517,1.0,11,11,544.5454545454545,No,2.0
PRV51518,1.0,53,48,828.6792452830189,No,4.0
PRV51521,1.0,46,39,175.43478260869566,No,1.0
PRV51522,1.0,190,169,1088.3157894736842,No,7.0
PRV51523,1.0,65,65,11289.384615384615,No,25.0
PRV51525,1.0,61,61,1242.1311475409836,No,0.0
PRV51526,1.0,20,20,2157.5,No,3.0
PRV51527,1.0,41,40,302.6829268292683,No,1.0
PRV51528,1.0,17,17,392.3529411764706,No,1.0
PRV51529,1.0,23,23,252.17391304347825,No,1.0
PRV51531,1.0,34,23,290.29411764705884,No,1.0
PRV51532,1.0,32,30,2216.5625,No,4.0
PRV51533,1.0,36,36,2676.3888888888887,No,6.0
PRV51535,1.0,388,306,312.75773195876286,No,9.0
PRV51536,1.0,16,16,2596.875,No,1.0
PRV51539,1.0,538,488,1587.806691449814,Yes,42.0
PRV51540,1.0,55,54,1217.090909090909,No,3.0
PRV51541,1.0,51,51,238.0392156862745,No,1.0
PRV51542,1.0,113,97,8536.814159292035,Yes,45.0
PRV51544,1.0,233,227,2060.7296137339054,No,15.0
PRV51546,1.0,36,35,3081.3888888888887,No,5.0
PRV51547,1.0,13,13,203.07692307692307,No,0.0
PRV51549,1.0,21,21,3910.0,No,3.0
PRV51550,1.0,61,53,2033.4426229508197,No,8.0
PRV51551,1.0,28,27,4028.5714285714284,No,4.0
PRV51552,1.0,62,62,1516.774193548387,No,6.0
PRV51553,1.0,21,21,1951.904761904762,No,4.0
PRV51554,1.0,6,6,1606.6666666666667,No,0.0
PRV51555,1.0,15,15,194.0,No,0.0
PRV51556,1.0,56,56,2468.75,No,4.0
PRV51557,1.0,10,10,1674.0,No,1.0
PRV51558,1.0,26,25,995.0,No,1.0
PRV51560,1.0,238,204,8219.285714285714,Yes,85.0
PRV51562,1.0,24,24,242.5,No,2.0
PRV51563,1.0,19,19,225.26315789473685,No,0.0
PRV51564,1.0,24,24,379.1666666666667,No,0.0
PRV51566,1.0,26,25,3462.6923076923076,No,6.0
PRV51567,1.0,1632,827,285.171568627451,Yes,29.0
PRV51568,1.0,58,57,1810.5172413793102,No,1.0
PRV51569,1.0,5,5,300.0,No,0.0
PRV51571,1.0,22,22,210.9090909090909,No,0.0
PRV51572,1.0,4,4,1427.5,No,1.0
PRV51573,1.0,92,76,725.3260869565217,No,5.0
PRV51574,1.0,4444,1715,288.4360936093609,Yes,114.0
PRV51576,1.0,65,65,1504.3076923076924,No,5.0
PRV51578,1.0,1500,1280,1108.6133333333332,Yes,78.0
PRV51579,1.0,72,66,3440.0,No,8.0
PRV51580,1.0,3,3,570.0,No,0.0
PRV51583,1.0,47,46,690.0,No,2.0
PRV51584,1.0,82,78,2096.7073170731705,Yes,6.0
PRV51585,1.0,6,6,12846.666666666666,No,2.0
PRV51586,1.0,8,8,9063.75,Yes,3.0
PRV51588,1.0,10,9,5843.0,No,1.0
PRV51590,1.0,84,82,9302.142857142857,Yes,39.0
PRV51592,1.0,3,3,10.0,No,0.0
PRV51593,1.0,54,54,2777.777777777778,Yes,4.0
PRV51595,1.0,24,22,610.8333333333334,No,1.0
PRV51596,1.0,50,50,836.6,No,1.0
PRV51598,1.0,422,399,1847.2274881516587,No,28.0
PRV51599,1.0,5,5,3242.0,No,1.0
PRV51600,1.0,109,103,330.73394495412845,No,3.0
PRV51601,1.0,14,14,263.57142857142856,No,0.0
PRV51602,1.0,39,38,1986.6666666666667,No,5.0
PRV51604,1.0,329,257,2120.091185410334,Yes,29.0
PRV51605,1.0,72,70,652.6388888888889,No,5.0
PRV51606,1.0,46,45,1436.9565217391305,No,7.0
PRV51607,1.0,15,15,1027.3333333333333,No,0.0
PRV51608,1.0,37,37,2111.891891891892,No,2.0
PRV51609,1.0,75,70,1477.2,No,3.0
PRV51611,1.0,8,8,347.5,No,0.0
PRV51612,1.0,13,13,5136.153846153846,No,4.0
PRV51613,1.0,21,21,973.8095238095239,No,2.0
PRV51614,1.0,268,243,5493.0970149253735,Yes,64.0
PRV51616,1.0,26,26,235.3846153846154,No,1.0
PRV51617,1.0,22,22,5057.727272727273,No,2.0
PRV51619,1.0,19,18,4113.1578947368425,No,5.0
PRV51620,1.0,8,8,2648.75,No,1.0
PRV51621,1.0,9,9,58.888888888888886,No,0.0
PRV51622,1.0,103,94,987.2815533980582,No,5.0
PRV51623,1.0,21,21,2683.3333333333335,No,1.0
PRV51624,1.0,5,5,64.0,No,0.0
PRV51625,1.0,7,7,2774.285714285714,No,1.0
PRV51626,1.0,9,9,4102.222222222223,No,1.0
PRV51627,1.0,26,26,1725.3846153846155,No,1.0
PRV51628,1.0,6,6,2220.0,No,1.0
PRV51629,1.0,22,20,9681.818181818182,No,9.0
PRV51630,1.0,5,5,372.0,No,0.0
PRV51631,1.0,6,6,250.0,No,0.0
PRV51632,1.0,26,25,1032.6923076923076,No,4.0
PRV51634,1.0,119,116,597.3949579831933,No,3.0
PRV51635,1.0,29,29,969.6551724137931,No,2.0
PRV51636,1.0,316,187,569.6835443037975,No,4.0
PRV51637,1.0,34,34,1277.6470588235295,No,0.0
PRV51638,1.0,4,4,5122.5,No,1.0
PRV51639,1.0,29,29,3880.0,No,2.0
PRV51640,1.0,7,7,2498.5714285714284,No,1.0
PRV51641,1.0,14,13,121.42857142857143,No,0.0
PRV51642,1.0,29,25,360.6896551724138,No,0.0
PRV51644,1.0,24,24,687.0833333333334,No,1.0
PRV51647,1.0,12,12,3745.0,No,3.0
PRV51650,1.0,24,23,553.75,No,0.0
PRV51652,1.0,64,49,275.0,No,1.0
PRV51653,1.0,24,24,355.4166666666667,No,0.0
PRV51654,1.0,2,2,110.0,No,0.0
PRV51655,1.0,3,3,23.333333333333332,No,0.0
PRV51656,1.0,23,23,211.30434782608697,No,0.0
PRV51657,1.0,4,4,940.0,No,0.0
PRV51658,1.0,5,5,354.0,No,0.0
PRV51660,1.0,3,3,60.0,No,0.0
