,Provider,PotentialFraud,AvgDuration,NumOfPt,NumOfClm,ClmPerPt,TotalRev,RevPerPt,ClmNoPhy,ClmAllPhy,ClmNoProc,ClmPerDay
58,PRV51593,Yes,2.74,54,54,1.0,162916,3016.96,0,0,47,52
59,PRV51604,Yes,2.43,257,329,1.28,739132,2876.0,2,9,297,219
60,PRV51614,Yes,3.39,243,268,1.1,1591560,6549.63,0,5,181,188
61,PRV51805,Yes,12.0,3,3,1.0,70204,23401.33,0,0,2,3
62,PRV51818,Yes,6.0,27,29,1.07,297972,11036.0,0,6,15,29
63,PRV51826,Yes,5.81,20,21,1.05,265360,13268.0,0,4,8,20
64,PRV51836,Yes,1.55,644,1794,2.79,510250,792.31,3,158,1794,366
65,PRV51840,Yes,2.97,111,118,1.06,422572,3806.95,1,5,95,95
66,PRV51842,Yes,3.08,223,294,1.32,1336950,5995.29,2,17,224,214
67,PRV51851,Yes,1.79,336,472,1.4,720108,2143.18,1,40,441,277
68,PRV51857,Yes,2.82,47,57,1.21,401190,8535.96,0,8,37,50
69,PRV51868,Yes,4.14,123,144,1.17,1154220,9383.9,1,4,84,115
70,PRV51873,Yes,1.74,130,144,1.11,369728,2844.06,0,11,128,118
71,PRV51876,Yes,3.54,57,61,1.07,257656,4520.28,0,7,49,58
72,PRV51920,Yes,3.44,18,18,1.0,110412,6134.0,0,2,13,17
73,PRV51940,Yes,4.85,227,251,1.11,2129134,9379.44,1,5,144,188
74,PRV51948,Yes,2.59,354,515,1.45,1642432,4639.64,1,34,444,275
75,PRV51951,Yes,3.03,87,102,1.17,524474,6028.44,1,11,73,86
76,PRV51979,Yes,5.08,12,13,1.08,149884,12490.33,0,0,6,13
77,PRV52002,Yes,2.48,180,188,1.04,356544,1980.8,0,18,171,146
78,PRV52019,Yes,2.49,1734,1961,1.13,6310076,3639.03,5,193,1663,377
79,PRV52020,Yes,1.95,577,606,1.05,1255180,2175.36,1,58,549,306
80,PRV52021,Yes,2.95,570,613,1.08,2142380,3758.56,3,39,519,310
81,PRV52030,Yes,1.31,1179,2275,1.93,691092,586.17,4,186,2272,366
82,PRV52032,Yes,1.49,568,627,1.1,752980,1325.67,1,59,595,309
83,PRV52041,Yes,1.45,918,1885,2.05,610470,665.0,7,176,1885,367
84,PRV52045,Yes,2.04,231,243,1.05,626628,2712.68,0,24,217,179
85,PRV52059,Yes,1.47,430,1287,2.99,558664,1299.22,3,105,1280,363
86,PRV52064,Yes,1.53,1536,2844,1.85,1157636,753.67,10,238,2823,372
87,PRV52065,Yes,2.62,316,325,1.03,1364750,4318.83,1,41,264,218
88,PRV52066,Yes,1.34,630,1455,2.31,390880,620.44,5,126,1454,364
89,PRV52077,Yes,1.74,695,1156,1.66,1470684,2116.09,2,79,1094,357
90,PRV52089,Yes,1.75,102,145,1.42,238230,2335.59,0,13,137,117
91,PRV52100,Yes,5.39,177,201,1.14,1685256,9521.22,0,30,103,149
92,PRV52114,Yes,1.92,633,1269,2.0,1504804,2377.26,5,82,1207,357
93,PRV52115,Yes,2.28,74,90,1.22,254222,3435.43,1,9,75,83
94,PRV52119,Yes,3.92,51,52,1.02,219488,4303.69,0,7,42,46
95,PRV52120,Yes,2.05,1098,1231,1.12,2025612,1844.82,0,109,1142,358
96,PRV52123,Yes,4.48,219,256,1.17,1597402,7294.07,0,27,167,185
97,PRV52124,Yes,2.57,113,115,1.02,196906,1742.53,1,15,109,104
98,PRV52135,Yes,4.12,239,263,1.1,2024558,8470.95,2,2,168,186
99,PRV52147,Yes,1.91,211,211,1.0,310904,1473.48,0,18,200,166
100,PRV52151,Yes,3.07,114,121,1.06,513448,4503.93,0,14,93,97
101,PRV52165,Yes,1.62,62,72,1.16,124850,2013.71,0,6,68,61
102,PRV52173,Yes,6.57,108,119,1.1,1479356,13697.74,0,0,47,103
103,PRV52178,Yes,6.49,121,136,1.12,1490362,12317.04,0,10,61,122
104,PRV52181,Yes,4.48,25,27,1.08,119320,4772.8,0,3,19,27
105,PRV52195,Yes,6.5,10,10,1.0,130680,13068.0,0,3,5,10
106,PRV52280,Yes,7.27,38,41,1.08,425720,11203.16,0,7,15,40
107,PRV52283,Yes,4.94,54,66,1.22,654120,12113.33,1,0,30,59
108,PRV52292,Yes,7.2,25,25,1.0,329700,13188.0,0,4,9,22
109,PRV52307,Yes,2.65,167,175,1.05,779288,4666.4,0,17,147,139
110,PRV52308,Yes,2.95,72,87,1.21,417600,5800.0,0,16,63,77
111,PRV52320,Yes,2.21,292,366,1.25,931424,3189.81,0,28,331,233
112,PRV52321,Yes,2.11,135,150,1.11,403526,2989.08,1,16,128,116
113,PRV52325,Yes,3.25,111,130,1.17,310816,2800.14,0,8,114,114
114,PRV52337,Yes,1.17,226,773,3.42,207690,918.98,0,65,773,323
115,PRV52340,Yes,2.09,693,1743,2.52,2766724,3992.39,7,130,1630,369
116,PRV52343,Yes,2.0,177,261,1.47,527486,2980.15,0,24,237,189
117,PRV52347,Yes,2.15,342,397,1.16,770030,2251.55,0,25,369,243
118,PRV52383,Yes,1.39,51,74,1.45,15700,307.84,0,6,74,64
119,PRV52396,Yes,3.08,34,40,1.18,174456,5131.06,0,8,29,37
120,PRV52420,Yes,3.23,47,141,3.0,78150,1662.77,0,17,141,122
121,PRV52445,Yes,8.2,5,5,1.0,107340,21468.0,0,1,1,5
122,PRV52467,Yes,1.5,89,103,1.16,192504,2162.97,0,4,98,92
123,PRV52497,Yes,1.5,30,30,1.0,63512,2117.07,0,3,26,30
124,PRV52502,Yes,2.68,87,119,1.37,283620,3260.0,0,4,108,101
125,PRV52504,Yes,2.33,34,40,1.18,129132,3798.0,0,2,34,37
126,PRV52511,Yes,2.74,196,246,1.26,797752,4070.16,0,9,203,176
127,PRV52574,Yes,3.69,208,259,1.25,1683402,8093.28,0,26,173,192
128,PRV52578,Yes,4.63,40,49,1.23,383498,9587.45,0,6,27,48
129,PRV52589,Yes,2.08,368,426,1.16,896450,2436.01,1,36,377,244
130,PRV52590,Yes,3.45,190,208,1.09,1341552,7060.8,1,9,143,161
131,PRV52593,Yes,1.4,252,582,2.31,143380,568.97,0,0,582,304
132,PRV52609,Yes,1.2,45,133,2.96,104440,2320.89,1,10,129,114
133,PRV52628,Yes,1.64,1354,2098,1.55,609900,450.44,5,151,2098,370
134,PRV52630,Yes,2.39,260,434,1.67,962448,3701.72,1,42,383,259
135,PRV52642,Yes,2.9,263,436,1.66,1458754,5546.59,1,19,351,263
136,PRV52648,Yes,1.58,259,842,3.25,256740,991.27,5,58,840,335
137,PRV52649,Yes,1.48,1421,2156,1.52,607360,427.42,5,159,2156,367
138,PRV52652,Yes,1.55,503,743,1.48,192850,383.4,6,0,743,314
139,PRV52690,Yes,2.01,37,117,3.16,53200,1437.84,1,12,117,97
140,PRV52815,Yes,5.69,24,26,1.08,417768,17407.0,0,4,13,25
141,PRV52821,Yes,2.82,389,713,1.83,1914944,4922.74,3,47,607,305
142,PRV52826,Yes,1.54,103,292,2.83,102620,996.31,0,21,292,192
143,PRV52828,Yes,4.18,38,44,1.16,245834,6469.32,1,2,36,42
144,PRV52843,Yes,1.77,190,251,1.32,642816,3383.24,0,26,227,183
145,PRV52846,Yes,4.7,222,241,1.09,2288882,10310.28,0,10,147,179
146,PRV52847,Yes,4.03,75,92,1.23,626350,8351.33,0,12,54,78
147,PRV52860,Yes,2.13,149,393,2.64,109120,732.35,0,28,393,239
148,PRV52868,Yes,3.31,93,110,1.18,479046,5151.03,0,9,86,96
149,PRV52870,Yes,1.77,220,589,2.68,487362,2215.28,1,49,574,294
150,PRV52884,Yes,1.74,213,707,3.32,239650,1125.12,3,56,707,328
151,PRV52887,Yes,1.59,202,530,2.62,410094,2030.17,1,45,517,290
152,PRV52903,Yes,5.08,191,200,1.05,1707254,8938.5,0,2,103,158
153,PRV52933,Yes,6.0,6,8,1.33,66594,11099.0,0,0,5,8
154,PRV52982,Yes,1.87,231,643,2.78,218380,945.37,2,47,642,297
155,PRV52985,Yes,1.99,500,1403,2.81,1801884,3603.77,3,135,1326,363
156,PRV52989,Yes,2.94,138,177,1.28,957710,6939.93,0,20,142,142
157,PRV52990,Yes,2.14,55,79,1.44,231656,4211.93,1,8,67,69
158,PRV53005,Yes,2.64,37,50,1.35,184880,4996.76,0,6,41,44
159,PRV53007,Yes,2.42,68,96,1.41,422358,6211.15,0,8,75,85
160,PRV53008,Yes,4.58,48,52,1.08,380166,7920.12,0,5,32,49
161,PRV53021,Yes,3.86,21,28,1.33,236174,11246.38,0,2,18,27
162,PRV53106,Yes,0.66,28,44,1.57,31562,1127.21,0,3,42,43
163,PRV53114,Yes,4.17,22,29,1.32,366523,16660.14,0,2,17,27
164,PRV53119,Yes,2.22,14,18,1.29,29614,2115.29,0,3,17,18
165,PRV53121,Yes,1.78,279,579,2.08,540998,1939.06,1,54,551,290
166,PRV53136,Yes,2.63,40,43,1.08,168596,4214.9,0,6,40,40
167,PRV53142,Yes,3.3,98,111,1.13,424734,4334.02,1,12,88,97
168,PRV53208,Yes,4.57,17,23,1.35,62772,3692.47,0,1,21,22
169,PRV53242,Yes,3.25,209,259,1.24,1288870,6166.84,1,30,195,186
170,PRV53245,Yes,1.57,106,146,1.38,232068,2189.32,0,14,138,123
171,PRV53265,Yes,2.88,68,92,1.35,339758,4996.44,0,12,76,81
172,PRV53266,Yes,3.01,228,257,1.13,1014564,4449.84,1,30,206,184
173,PRV53269,Yes,2.43,357,456,1.28,1121454,3141.33,1,27,386,268
174,PRV53277,Yes,3.34,34,44,1.29,145130,4268.53,0,3,35,39
175,PRV53295,Yes,1.9,166,197,1.19,364264,2194.36,1,19,181,157
176,PRV53297,Yes,7.0,26,29,1.12,187790,7222.69,0,5,19,28
177,PRV53379,Yes,6.91,10,11,1.1,164748,16474.8,0,1,2,11
178,PRV53384,Yes,4.16,51,62,1.22,375714,7366.94,0,2,42,59
179,PRV53385,Yes,1.97,418,1037,2.48,1461154,3495.58,4,88,962,351
180,PRV53397,Yes,5.93,14,14,1.0,125474,8962.43,0,2,12,14
181,PRV53399,Yes,2.61,30,33,1.1,81596,2719.87,0,6,28,32
182,PRV53401,Yes,2.87,275,303,1.1,1227122,4462.26,0,33,235,210
183,PRV53417,Yes,1.81,71,171,2.41,123136,1734.31,1,18,167,133
184,PRV53421,Yes,4.5,110,129,1.17,1081434,9831.22,0,1,81,108
185,PRV53461,Yes,3.11,32,36,1.12,440937,13779.28,1,3,25,33
186,PRV53623,Yes,0.92,395,894,2.26,248170,628.28,0,74,894,336
187,PRV53668,Yes,4.62,16,16,1.0,158288,9893.0,0,1,7,16
188,PRV53670,Yes,1.4,788,1173,1.49,325810,413.46,4,102,1173,352
189,PRV53671,Yes,2.8,46,55,1.2,282640,6144.35,0,4,33,54
190,PRV53677,Yes,1.62,172,562,3.27,814338,4734.52,0,31,526,279
191,PRV53692,Yes,3.99,216,244,1.13,1445354,6691.45,0,6,162,177
192,PRV53706,Yes,4.03,445,473,1.06,3074414,6908.8,0,36,311,269
193,PRV53712,Yes,4.95,203,237,1.17,2047520,10086.31,0,33,133,176
194,PRV53749,Yes,2.35,64,69,1.08,262914,4108.03,0,4,57,64
195,PRV53762,Yes,1.95,557,618,1.11,1121806,2014.01,1,62,567,294
196,PRV53763,Yes,5.47,57,58,1.02,785808,13786.11,0,7,16,51
197,PRV53769,Yes,3.34,354,377,1.06,1785762,5044.53,1,23,296,246
198,PRV53776,Yes,2.18,191,200,1.05,622696,3260.19,1,9,173,154
199,PRV53781,Yes,2.44,371,393,1.06,1048482,2826.1,0,31,350,247
200,PRV53786,Yes,1.42,538,1382,2.57,758068,1409.05,3,97,1361,363
201,PRV53787,Yes,2.84,74,74,1.0,337656,4562.92,1,1,54,67
202,PRV53790,Yes,2.1,470,493,1.05,690292,1468.71,2,35,471,262
203,PRV53792,Yes,3.79,52,53,1.02,307804,5919.31,0,2,40,50
204,PRV53797,Yes,1.24,2020,4739,2.35,1317620,652.29,12,388,4738,375
205,PRV53808,Yes,3.14,468,493,1.05,2119372,4528.57,1,25,389,275
206,PRV53855,Yes,4.05,17,20,1.18,162360,9550.59,0,3,9,20
207,PRV53884,Yes,2.78,226,269,1.19,1144298,5063.27,1,18,208,190
208,PRV53887,Yes,1.27,213,598,2.81,166480,781.6,2,53,598,300
209,PRV53894,Yes,1.7,97,217,2.24,284940,2937.53,0,14,209,168
210,PRV53895,Yes,1.61,576,1273,2.21,404650,702.52,2,113,1273,361
211,PRV53900,Yes,1.5,317,789,2.49,204520,645.17,3,70,789,333
212,PRV53911,Yes,2.07,201,536,2.67,390472,1942.65,1,48,526,281
213,PRV53918,Yes,1.33,1709,3588,2.1,1023610,598.95,6,269,3586,374
214,PRV53919,Yes,4.88,22,24,1.09,60648,2756.73,0,1,19,23
215,PRV53923,Yes,2.05,139,155,1.12,302560,2176.69,0,11,141,130
216,PRV53937,Yes,4.13,38,38,1.0,236166,6214.89,0,2,27,35
217,PRV53938,Yes,3.95,89,111,1.25,734178,8249.19,0,2,59,98
218,PRV53951,Yes,2.06,49,54,1.1,247176,5044.41,0,7,44,48
219,PRV53959,Yes,3.2,202,214,1.06,906982,4490.01,0,17,176,167
220,PRV53961,Yes,4.21,124,129,1.04,902328,7276.84,0,2,79,116
221,PRV53985,Yes,2.1,62,197,3.18,172444,2781.35,0,13,193,150
222,PRV54056,Yes,5.14,15,21,1.4,203292,13552.8,1,0,10,21
223,PRV54065,Yes,3.26,71,94,1.32,282362,3976.93,0,4,76,78
224,PRV54070,Yes,1.33,1177,1467,1.25,397770,337.95,3,123,1467,369
225,PRV54074,Yes,2.32,109,113,1.04,363706,3336.75,0,13,98,95
226,PRV54075,Yes,1.53,910,1519,1.67,733288,805.81,4,133,1500,358
227,PRV54077,Yes,5.58,70,76,1.09,549720,7853.14,0,2,43,68
228,PRV54093,Yes,3.58,86,89,1.03,550880,6405.58,0,8,64,77
229,PRV54098,Yes,1.25,96,256,2.67,117444,1223.38,1,16,252,180
230,PRV54103,Yes,0.8,82,187,2.28,113764,1387.37,1,13,183,146
231,PRV54111,Yes,1.74,176,249,1.41,648202,3682.97,1,26,222,176
232,PRV54144,Yes,1.35,103,294,2.85,73960,718.06,1,25,294,202
233,PRV54149,Yes,1.25,14,16,1.14,40040,2860.0,0,0,16,16
234,PRV54209,Yes,1.39,139,151,1.09,200730,1444.1,0,15,140,122
235,PRV54225,Yes,2.0,59,104,1.76,54150,917.8,0,6,104,92
236,PRV54230,Yes,2.62,113,126,1.12,456132,4036.57,0,15,101,102
237,PRV54258,Yes,3.23,201,238,1.18,1192066,5930.68,0,23,168,173
238,PRV54297,Yes,6.88,7,8,1.14,176544,25220.57,0,1,2,8
239,PRV54323,Yes,2.2,30,51,1.7,10690,356.33,0,1,51,49
240,PRV54327,Yes,2.64,43,70,1.63,209414,4870.09,0,7,62,62
241,PRV54333,Yes,1.56,291,360,1.24,683570,2349.04,1,25,328,231
242,PRV54336,Yes,1.18,103,232,2.25,247312,2401.09,0,19,224,169
243,PRV54350,Yes,1.53,530,1495,2.82,1529484,2885.82,5,107,1436,365
244,PRV54354,Yes,3.01,89,100,1.12,286390,3217.87,0,6,89,87
245,PRV54359,Yes,1.47,152,490,3.22,632102,4158.57,1,40,462,268
246,PRV54361,Yes,2.55,27,40,1.48,80068,2965.48,0,2,36,39
247,PRV54367,Yes,3.53,558,636,1.14,3395274,6084.72,4,25,449,308
248,PRV54372,Yes,1.31,805,1617,2.01,699618,869.09,5,134,1601,367
249,PRV54382,Yes,2.44,214,257,1.2,743474,3474.18,2,22,219,181
250,PRV54388,Yes,2.53,73,76,1.04,55318,757.78,0,5,73,68
251,PRV54391,Yes,1.69,222,318,1.43,254950,1148.42,1,19,309,208
252,PRV54399,Yes,1.92,144,349,2.42,277784,1929.06,0,25,342,224
253,PRV54504,Yes,2.12,103,120,1.17,481992,4679.53,1,7,101,98
254,PRV54505,Yes,0.87,24,38,1.58,60580,2524.17,0,2,35,35
255,PRV54514,Yes,1.53,305,387,1.27,695974,2281.88,2,28,358,243
256,PRV54540,Yes,0.0,19,20,1.05,9790,515.26,0,0,20,18
257,PRV54543,Yes,3.0,15,17,1.13,44964,2997.6,0,1,14,16
258,PRV54557,Yes,1.54,263,564,2.14,159620,606.92,1,47,564,297
259,PRV54560,Yes,3.52,87,98,1.13,515800,5928.74,0,9,81,87
260,PRV54566,Yes,2.48,247,308,1.25,790732,3201.34,0,34,283,210
261,PRV54644,Yes,2.06,66,68,1.03,235886,3574.03,0,6,54,62
262,PRV54649,Yes,3.16,73,75,1.03,319798,4380.79,0,2,63,63
263,PRV54651,Yes,2.21,87,91,1.05,307230,3531.38,0,9,78,83
264,PRV54675,Yes,5.05,34,37,1.09,461516,13574.0,0,5,15,35
265,PRV54676,Yes,5.12,36,40,1.11,401784,11160.67,0,4,13,38
266,PRV54680,Yes,7.28,17,18,1.06,276224,16248.47,0,3,6,18
267,PRV54688,Yes,1.19,481,1032,2.15,416628,866.17,3,93,1025,345
268,PRV54692,Yes,3.82,62,72,1.16,427144,6889.42,0,2,52,66
269,PRV54718,Yes,6.14,24,29,1.21,332972,13873.83,0,6,13,27
270,PRV54739,Yes,2.31,180,186,1.03,638776,3548.76,1,20,154,150
271,PRV54742,Yes,1.89,989,1892,1.91,3164588,3199.79,7,118,1751,373
272,PRV54743,Yes,2.08,77,80,1.04,86008,1116.99,1,8,75,67
273,PRV54765,Yes,4.51,201,239,1.19,2131636,10605.15,1,3,131,174
274,PRV54771,Yes,1.45,80,85,1.06,184466,2305.82,0,8,76,80
275,PRV54772,Yes,1.75,1061,2115,1.99,1865144,1757.91,7,192,2050,371
276,PRV54778,Yes,1.8,857,1672,1.95,1060394,1237.33,4,133,1636,363
277,PRV54781,Yes,3.03,189,205,1.08,845630,4474.23,0,13,161,154
278,PRV54786,Yes,1.78,697,1316,1.89,419300,601.58,3,105,1316,362
279,PRV54808,Yes,0.03,32,32,1.0,15250,476.56,0,2,32,29
280,PRV54822,Yes,6.12,16,16,1.0,153088,9568.0,0,1,8,16
281,PRV54828,Yes,2.0,22,60,2.73,114994,5227.0,0,5,58,56
282,PRV54832,Yes,1.9,58,60,1.03,100690,1736.03,0,4,56,56
283,PRV54837,Yes,1.6,728,1843,2.53,529660,727.55,5,145,1842,369
284,PRV54845,Yes,2.05,36,41,1.14,109164,3032.33,0,2,34,39
285,PRV54875,Yes,9.15,19,20,1.05,180292,9489.05,0,3,5,20
286,PRV54876,Yes,10.67,3,3,1.0,23136,7712.0,0,0,0,3
287,PRV54879,Yes,2.28,197,245,1.24,696084,3533.42,0,19,213,183
288,PRV54882,Yes,2.07,220,253,1.15,404626,1839.21,0,19,231,183
289,PRV54894,Yes,4.47,209,229,1.1,1849204,8847.87,1,28,145,168
290,PRV54895,Yes,1.38,1469,3436,2.34,1072574,730.14,10,281,3430,372
291,PRV54896,Yes,3.04,152,159,1.05,677358,4456.3,0,8,125,129
292,PRV54918,Yes,2.94,139,166,1.19,950928,6841.21,0,8,127,135
293,PRV54925,Yes,2.66,97,122,1.26,515604,5315.51,0,9,102,97
294,PRV54929,Yes,5.5,26,26,1.0,213650,8217.31,0,4,18,25
295,PRV54931,Yes,4.35,50,52,1.04,274172,5483.44,1,7,38,46
296,PRV54933,Yes,3.34,53,64,1.21,281166,5305.02,0,1,43,61
297,PRV54936,Yes,3.98,209,221,1.06,1107256,5297.88,0,7,146,170
298,PRV54939,Yes,1.27,1163,1380,1.19,411320,353.67,3,115,1380,361
299,PRV54942,Yes,1.88,119,130,1.09,262802,2208.42,0,10,121,104
300,PRV54950,Yes,3.44,18,18,1.0,80830,4490.56,0,1,14,18
301,PRV54952,Yes,2.11,147,149,1.01,191708,1304.14,4,13,143,122
302,PRV54955,Yes,4.31,300,314,1.05,2231378,7437.93,0,9,206,203
303,PRV54966,Yes,1.27,1289,1796,1.39,507990,394.1,4,124,1795,368
304,PRV54986,Yes,2.6,542,618,1.14,1768946,3263.74,2,58,525,297
305,PRV54998,Yes,2.72,130,207,1.59,607924,4676.34,0,15,170,154
306,PRV55004,Yes,1.47,992,2399,2.42,710086,715.81,8,182,2394,372
307,PRV55010,Yes,1.1,143,289,2.02,66990,468.46,0,22,289,196
308,PRV55018,Yes,4.67,72,75,1.04,683224,9489.22,0,0,38,69
309,PRV55019,Yes,3.69,221,285,1.29,2021846,9148.62,0,9,191,199
310,PRV55022,Yes,3.5,123,137,1.11,740190,6017.8,1,4,98,114
311,PRV55027,Yes,1.97,147,156,1.06,206324,1403.56,1,18,149,126
312,PRV55030,Yes,2.94,239,311,1.3,831260,3478.08,0,20,270,222
313,PRV55034,Yes,1.37,466,612,1.31,442994,950.63,1,0,594,291
314,PRV55039,Yes,1.38,647,2058,3.18,848312,1311.15,9,178,2037,371
315,PRV55048,Yes,5.23,88,94,1.07,942680,10712.27,0,0,40,81
316,PRV55049,Yes,4.27,117,148,1.26,788182,6736.6,2,20,101,121
317,PRV55057,Yes,1.74,146,347,2.38,95600,654.79,0,21,347,236
318,PRV55147,Yes,7.33,6,6,1.0,92540,15423.33,0,0,2,6
319,PRV55163,Yes,1.86,365,587,1.61,171478,469.8,2,47,586,303
320,PRV55165,Yes,2.28,228,241,1.06,362600,1590.35,1,14,227,170
321,PRV55171,Yes,2.05,110,247,2.25,404744,3679.49,0,12,217,184
322,PRV55172,Yes,3.55,98,114,1.16,761278,7768.14,0,13,86,98
323,PRV55193,Yes,5.23,38,44,1.16,477488,12565.47,0,1,28,42
324,PRV55194,Yes,3.29,368,421,1.14,1877114,5100.85,2,23,318,260
325,PRV55195,Yes,1.99,69,77,1.12,209782,3040.32,0,4,69,69
326,PRV55209,Yes,2.81,659,762,1.16,3171738,4812.96,3,32,613,318
327,PRV55215,Yes,1.67,2638,3393,1.29,2427886,920.35,5,280,3306,378
328,PRV55225,Yes,1.74,64,66,1.03,209142,3267.84,0,11,59,59
329,PRV55230,Yes,3.72,515,565,1.1,2753108,5345.84,0,49,438,286
330,PRV55250,Yes,1.98,116,301,2.59,352708,3040.59,0,16,284,200
331,PRV55266,Yes,1.44,22,25,1.14,55352,2516.0,0,2,24,24
332,PRV55374,Yes,5.21,31,33,1.06,370244,11943.35,0,7,17,32
333,PRV55375,Yes,5.93,14,14,1.0,153784,10984.57,0,1,4,14
334,PRV55430,Yes,6.86,6,7,1.17,86476,14412.67,0,0,4,7
335,PRV55433,Yes,2.61,77,87,1.13,376246,4886.31,0,7,70,79
336,PRV55435,Yes,5.34,133,151,1.14,1299328,9769.38,2,0,73,122
337,PRV55437,Yes,2.73,102,106,1.04,430294,4218.57,0,12,85,90
338,PRV55444,Yes,5.23,109,128,1.17,1397740,12823.3,0,3,54,112
339,PRV55453,Yes,1.26,333,795,2.39,306936,921.73,0,65,785,331
340,PRV55462,Yes,2.47,969,1907,1.97,5083120,5245.74,6,129,1687,374
341,PRV55467,Yes,1.33,703,1896,2.7,564510,803.0,8,157,1892,364
