Provider,PotentialFraud,DupClaimNum_IP,DupClaimRatio_IP,DupClaim_IP,DupClaimStatesNum_IP,DupClaimMultiState_IP,DupClaimProviderNum_IP,DupClaimMultiProvider_IP,DupClaimStartDtNum_IP,DupClaimMultiStartDt_IP,DupClaimNum_OP,DupClaimRatio_OP,DupClaim_OP,DupClaimStatesNum_OP,DupClaimMultiState_OP,DupClaimProviderNum_OP,DupClaimMultiProvider_OP,DupClaimStartDtNum_OP,DupClaimMultiStartDt_OP
PRV51068,No,0.0,0.0,no,,,,,,,107.0,0.4246031746031746,yes,52.0,yes,3140.0,yes,378.0,yes
PRV51070,No,0.0,0.0,no,,,,,,,44.0,0.4943820224719101,yes,52.0,yes,2817.0,yes,378.0,yes
PRV51071,No,,,,,,,,,,6.0,0.25,yes,52.0,yes,1302.0,yes,365.0,yes
PRV51072,No,0.0,0.0,no,,,,,,,80.0,0.4,yes,52.0,yes,2897.0,yes,374.0,yes
PRV51074,No,0.0,0.0,no,,,,,,,9.0,0.2647058823529412,yes,50.0,yes,847.0,yes,357.0,yes
PRV51075,No,,,,,,,,,,7.0,0.4117647058823529,yes,49.0,yes,452.0,yes,313.0,yes
PRV51076,No,,,,,,,,,,13.0,0.4482758620689655,yes,52.0,yes,1596.0,yes,366.0,yes
PRV51077,Yes,0.0,0.0,no,,,,,,,9.0,0.5294117647058824,yes,47.0,yes,323.0,yes,240.0,yes
PRV51078,No,0.0,0.0,no,,,,,,,4.0,0.2857142857142857,yes,39.0,yes,112.0,yes,103.0,yes
PRV51081,No,0.0,0.0,no,,,,,,,84.0,0.4329896907216495,yes,52.0,yes,3011.0,yes,379.0,yes
PRV51082,No,,,,,,,,,,13.0,0.38235294117647056,yes,52.0,yes,2312.0,yes,371.0,yes
PRV51083,No,,,,,,,,,,36.0,0.4,yes,52.0,yes,2987.0,yes,373.0,yes
PRV51084,Yes,0.0,0.0,no,,,,,,,48.0,0.5333333333333333,yes,52.0,yes,3047.0,yes,376.0,yes
PRV51086,No,2.0,0.06451612903225806,yes,4.0,yes,4.0,yes,5.0,yes,42.0,0.3888888888888889,yes,52.0,yes,2315.0,yes,369.0,yes
PRV51089,No,0.0,0.0,no,,,,,,,96.0,0.45714285714285713,yes,52.0,yes,3100.0,yes,373.0,yes
PRV51090,No,,,,,,,,,,2.0,0.2857142857142857,yes,49.0,yes,431.0,yes,291.0,yes
PRV51091,No,,,,,,,,,,17.0,0.38636363636363635,yes,52.0,yes,2420.0,yes,371.0,yes
PRV51093,No,0.0,0.0,no,,,,,,,1.0,0.14285714285714285,yes,19.0,yes,23.0,yes,24.0,yes
PRV51096,No,,,,,,,,,,3.0,0.6,yes,48.0,yes,446.0,yes,295.0,yes
PRV51097,No,,,,,,,,,,51.0,0.408,yes,52.0,yes,2604.0,yes,375.0,yes
PRV51098,No,,,,,,,,,,2.0,0.5,yes,44.0,yes,163.0,yes,148.0,yes
PRV51100,No,0.0,0.0,no,,,,,,,,,,,,,,,
PRV51101,No,0.0,0.0,no,,,,,,,,,,,,,,,
PRV51102,No,1.0,0.08333333333333333,yes,2.0,yes,3.0,yes,3.0,yes,,,,,,,,,
PRV51103,Yes,,,,,,,,,,3.0,0.5,yes,31.0,yes,59.0,yes,63.0,yes
PRV51104,No,,,,,,,,,,5.0,0.4166666666666667,yes,52.0,yes,2315.0,yes,371.0,yes
PRV51105,No,,,,,,,,,,3.0,0.25,yes,37.0,yes,156.0,yes,137.0,yes
PRV51108,No,1.0,0.05263157894736842,yes,2.0,yes,2.0,yes,2.0,yes,,,,,,,,,
PRV51109,No,0.0,0.0,no,,,,,,,,,,,,,,,
PRV51110,No,0.0,0.0,no,,,,,,,,,,,,,,,
PRV51111,No,,,,,,,,,,50.0,0.3787878787878788,yes,52.0,yes,2052.0,yes,369.0,yes
PRV51112,No,,,,,,,,,,124.0,0.40789473684210525,yes,52.0,yes,3263.0,yes,381.0,yes
PRV51113,No,,,,,,,,,,59.0,0.44696969696969696,yes,52.0,yes,2935.0,yes,377.0,yes
PRV51114,No,,,,,,,,,,121.0,0.4618320610687023,yes,52.0,yes,3175.0,yes,378.0,yes
PRV51115,No,,,,,,,,,,2.0,0.2857142857142857,yes,27.0,yes,54.0,yes,54.0,yes
PRV51117,No,,,,,,,,,,5.0,0.4166666666666667,yes,52.0,yes,2308.0,yes,371.0,yes
PRV51118,No,0.0,0.0,no,,,,,,,,,,,,,,,
PRV51119,Yes,3.0,0.031914893617021274,yes,4.0,yes,4.0,yes,6.0,yes,0.0,0.0,no,,,,,,
PRV51120,No,0.0,0.0,no,,,,,,,,,,,,,,,
PRV51121,No,0.0,0.0,no,,,,,,,1.0,1.0,yes,6.0,yes,9.0,yes,9.0,yes
PRV51122,No,,,,,,,,,,3.0,0.42857142857142855,yes,50.0,yes,584.0,yes,324.0,yes
PRV51123,No,0.0,0.0,no,,,,,,,12.0,0.41379310344827586,yes,52.0,yes,885.0,yes,363.0,yes
PRV51125,No,0.0,0.0,no,,,,,,,16.0,0.4444444444444444,yes,52.0,yes,1202.0,yes,367.0,yes
PRV51126,Yes,2.0,0.1,yes,3.0,yes,3.0,yes,4.0,yes,,,,,,,,,
PRV51128,No,0.0,0.0,no,,,,,,,14.0,0.3111111111111111,yes,51.0,yes,1368.0,yes,365.0,yes
PRV51129,No,,,,,,,,,,43.0,0.4479166666666667,yes,52.0,yes,2682.0,yes,378.0,yes
PRV51130,No,,,,,,,,,,1.0,0.14285714285714285,yes,2.0,yes,2.0,yes,2.0,yes
PRV51131,No,,,,,,,,,,3.0,0.375,yes,32.0,yes,58.0,yes,60.0,yes
PRV51132,No,0.0,0.0,no,,,,,,,3.0,0.42857142857142855,yes,49.0,yes,484.0,yes,302.0,yes
PRV51134,No,,,,,,,,,,8.0,0.5333333333333333,yes,48.0,yes,369.0,yes,268.0,yes
PRV51135,No,,,,,,,,,,3.0,0.6,yes,52.0,yes,2292.0,yes,371.0,yes
PRV51136,No,0.0,0.0,no,,,,,,,,,,,,,,,
PRV51137,No,0.0,0.0,no,,,,,,,27.0,0.5,yes,52.0,yes,2500.0,yes,375.0,yes
PRV51138,No,0.0,0.0,no,,,,,,,10.0,0.4,yes,52.0,yes,2302.0,yes,372.0,yes
PRV51139,No,0.0,0.0,no,,,,,,,19.0,0.5277777777777778,yes,52.0,yes,1322.0,yes,366.0,yes
PRV51140,No,3.0,0.06382978723404255,yes,4.0,yes,4.0,yes,6.0,yes,184.0,0.41818181818181815,yes,52.0,yes,3479.0,yes,380.0,yes
PRV51141,No,,,,,,,,,,23.0,0.323943661971831,yes,52.0,yes,1770.0,yes,372.0,yes
PRV51142,No,0.0,0.0,no,,,,,,,21.0,0.4772727272727273,yes,52.0,yes,2447.0,yes,372.0,yes
PRV51143,No,,,,,,,,,,35.0,0.45454545454545453,yes,52.0,yes,2643.0,yes,376.0,yes
PRV51144,No,0.0,0.0,no,,,,,,,11.0,0.4230769230769231,yes,52.0,yes,2362.0,yes,372.0,yes
PRV51145,Yes,7.0,0.043478260869565216,yes,7.0,yes,8.0,yes,14.0,yes,17.0,0.4146341463414634,yes,52.0,yes,2378.0,yes,371.0,yes
PRV51146,Yes,10.0,0.061728395061728385,yes,12.0,yes,11.0,yes,19.0,yes,97.0,0.5105263157894737,yes,52.0,yes,3159.0,yes,374.0,yes
PRV51147,No,,,,,,,,,,8.0,0.25,yes,52.0,yes,2317.0,yes,371.0,yes
PRV51148,Yes,1.0,0.029411764705882356,yes,2.0,yes,2.0,yes,2.0,yes,117.0,0.3952702702702703,yes,52.0,yes,3226.0,yes,379.0,yes
PRV51149,Yes,2.0,0.017241379310344827,yes,3.0,yes,3.0,yes,4.0,yes,15.0,0.46875,yes,52.0,yes,2405.0,yes,371.0,yes
PRV51151,No,1.0,0.045454545454545456,yes,2.0,yes,2.0,yes,2.0,yes,106.0,0.5023696682464455,yes,52.0,yes,2951.0,yes,373.0,yes
PRV51152,No,,,,,,,,,,37.0,0.4457831325301205,yes,52.0,yes,2712.0,yes,371.0,yes
PRV51153,No,0.0,0.0,no,,,,,,,36.0,0.43373493975903615,yes,52.0,yes,1512.0,yes,372.0,yes
PRV51154,No,,,,,,,,,,79.0,0.4906832298136646,yes,52.0,yes,2807.0,yes,377.0,yes
PRV51155,No,,,,,,,,,,48.0,0.41739130434782606,yes,52.0,yes,2722.0,yes,378.0,yes
PRV51156,No,,,,,,,,,,241.0,0.4446494464944649,yes,52.0,yes,3588.0,yes,382.0,yes
PRV51159,Yes,1.0,0.015384615384615384,yes,2.0,yes,2.0,yes,2.0,yes,245.0,0.4861111111111111,yes,52.0,yes,3597.0,yes,382.0,yes
PRV51160,No,1.0,0.011111111111111113,yes,2.0,yes,2.0,yes,2.0,yes,8.0,0.3333333333333333,yes,52.0,yes,2376.0,yes,373.0,yes
PRV51164,No,3.0,0.07317073170731707,yes,4.0,yes,4.0,yes,6.0,yes,165.0,0.4714285714285714,yes,52.0,yes,3574.0,yes,382.0,yes
PRV51165,No,1.0,0.038461538461538464,yes,2.0,yes,2.0,yes,2.0,yes,29.0,0.4027777777777778,yes,52.0,yes,1901.0,yes,370.0,yes
PRV51166,No,0.0,0.0,no,,,,,,,2.0,0.5,yes,24.0,yes,48.0,yes,43.0,yes
PRV51167,No,,,,,,,,,,78.0,0.4105263157894737,yes,52.0,yes,2947.0,yes,374.0,yes
PRV51168,No,0.0,0.0,no,,,,,,,44.0,0.5641025641025641,yes,52.0,yes,2707.0,yes,372.0,yes
PRV51169,No,,,,,,,,,,33.0,0.42857142857142855,yes,52.0,yes,2490.0,yes,373.0,yes
PRV51170,Yes,0.0,0.0,no,,,,,,,3.0,0.375,yes,43.0,yes,261.0,yes,214.0,yes
PRV51171,No,,,,,,,,,,27.0,0.4576271186440678,yes,52.0,yes,2811.0,yes,376.0,yes
PRV51173,Yes,0.0,0.0,no,,,,,,,8.0,0.5333333333333333,yes,48.0,yes,392.0,yes,276.0,yes
PRV51175,No,,,,,,,,,,18.0,0.43902439024390244,yes,51.0,yes,633.0,yes,338.0,yes
PRV51176,No,,,,,,,,,,208.0,0.46741573033707867,yes,52.0,yes,3559.0,yes,379.0,yes
PRV51178,Yes,0.0,0.0,no,,,,,,,17.0,0.5483870967741935,yes,52.0,yes,2562.0,yes,374.0,yes
PRV51179,No,,,,,,,,,,10.0,0.38461538461538464,yes,51.0,yes,550.0,yes,329.0,yes
PRV51180,No,0.0,0.0,no,,,,,,,49.0,0.3858267716535433,yes,52.0,yes,2767.0,yes,371.0,yes
PRV51181,No,,,,,,,,,,5.0,0.5,yes,37.0,yes,141.0,yes,133.0,yes
PRV51183,No,0.0,0.0,no,,,,,,,31.0,0.4305555555555556,yes,52.0,yes,2542.0,yes,371.0,yes
PRV51185,No,,,,,,,,,,4.0,0.5,yes,43.0,yes,186.0,yes,165.0,yes
PRV51186,No,,,,,,,,,,0.0,0.0,no,,,,,,
PRV51189,No,,,,,,,,,,24.0,0.42857142857142855,yes,52.0,yes,2549.0,yes,371.0,yes
PRV51190,No,0.0,0.0,no,,,,,,,28.0,0.4444444444444444,yes,52.0,yes,1227.0,yes,366.0,yes
PRV51191,No,,,,,,,,,,11.0,0.34375,yes,52.0,yes,2408.0,yes,372.0,yes
PRV51194,No,0.0,0.0,no,,,,,,,3.0,0.42857142857142855,yes,35.0,yes,78.0,yes,76.0,yes
PRV51196,No,,,,,,,,,,309.0,0.42916666666666664,yes,52.0,yes,3745.0,yes,382.0,yes
PRV51198,No,,,,,,,,,,4.0,0.6666666666666666,yes,49.0,yes,572.0,yes,329.0,yes
PRV51200,No,,,,,,,,,,10.0,0.5263157894736842,yes,52.0,yes,1301.0,yes,366.0,yes
PRV51201,No,,,,,,,,,,24.0,0.5333333333333333,yes,52.0,yes,981.0,yes,367.0,yes
PRV51202,No,,,,,,,,,,4.0,0.3333333333333333,yes,45.0,yes,284.0,yes,228.0,yes
PRV51203,No,,,,,,,,,,11.0,0.5238095238095238,yes,52.0,yes,2302.0,yes,371.0,yes
PRV51204,No,,,,,,,,,,240.0,0.48096192384769537,yes,52.0,yes,3566.0,yes,380.0,yes
PRV51205,No,,,,,,,,,,1.0,0.1,yes,7.0,yes,9.0,yes,9.0,yes
PRV51206,No,,,,,,,,,,5.0,0.5,yes,34.0,yes,79.0,yes,80.0,yes
PRV51207,No,0.0,0.0,no,,,,,,,,,,,,,,,
PRV51209,No,,,,,,,,,,18.0,0.42857142857142855,yes,52.0,yes,600.0,yes,339.0,yes
PRV51210,No,,,,,,,,,,4.0,0.4444444444444444,yes,52.0,yes,2294.0,yes,371.0,yes
PRV51211,No,,,,,,,,,,1.0,0.5,yes,50.0,yes,438.0,yes,300.0,yes
PRV51212,No,,,,,,,,,,5.0,0.3333333333333333,yes,41.0,yes,127.0,yes,118.0,yes
PRV51213,No,,,,,,,,,,1.0,0.5,yes,25.0,yes,43.0,yes,41.0,yes
PRV51214,No,,,,,,,,,,3.0,0.375,yes,48.0,yes,335.0,yes,256.0,yes
PRV51215,No,,,,,,,,,,3.0,0.3,yes,32.0,yes,99.0,yes,99.0,yes
PRV51216,No,,,,,,,,,,33.0,0.4647887323943662,yes,52.0,yes,2640.0,yes,375.0,yes
PRV51217,No,,,,,,,,,,3.0,0.6,yes,31.0,yes,59.0,yes,56.0,yes
PRV51218,No,,,,,,,,,,2.0,0.2857142857142857,yes,41.0,yes,147.0,yes,132.0,yes
PRV51219,No,,,,,,,,,,4.0,0.5,yes,51.0,yes,660.0,yes,349.0,yes
PRV51221,No,,,,,,,,,,1.0,1.0,yes,2.0,yes,2.0,yes,2.0,yes
PRV51222,No,,,,,,,,,,1.0,0.2,yes,3.0,yes,3.0,yes,3.0,yes
PRV51224,No,,,,,,,,,,4.0,0.5714285714285714,yes,47.0,yes,420.0,yes,288.0,yes
PRV51225,No,,,,,,,,,,3.0,0.375,yes,36.0,yes,97.0,yes,100.0,yes
PRV51226,No,,,,,,,,,,10.0,0.5,yes,45.0,yes,280.0,yes,217.0,yes
PRV51228,No,,,,,,,,,,2.0,0.4,yes,38.0,yes,166.0,yes,148.0,yes
PRV51229,No,,,,,,,,,,22.0,0.46808510638297873,yes,52.0,yes,989.0,yes,364.0,yes
PRV51230,No,,,,,,,,,,10.0,0.3333333333333333,yes,52.0,yes,633.0,yes,341.0,yes
PRV51231,No,0.0,0.0,no,,,,,,,,,,,,,,,
PRV51232,No,0.0,0.0,no,,,,,,,,,,,,,,,
PRV51233,No,0.0,0.0,no,,,,,,,,,,,,,,,
PRV51234,No,0.0,0.0,no,,,,,,,,,,,,,,,
PRV51235,No,0.0,0.0,no,,,,,,,,,,,,,,,
PRV51236,No,0.0,0.0,no,,,,,,,,,,,,,,,
PRV51237,No,0.0,0.0,no,,,,,,,,,,,,,,,
PRV51238,No,1.0,0.125,yes,2.0,yes,2.0,yes,2.0,yes,,,,,,,,,
PRV51239,No,0.0,0.0,no,,,,,,,,,,,,,,,
PRV51240,No,0.0,0.0,no,,,,,,,25.0,0.5102040816326531,yes,52.0,yes,2762.0,yes,376.0,yes
PRV51241,No,0.0,0.0,no,,,,,,,21.0,0.42,yes,52.0,yes,2476.0,yes,371.0,yes
PRV51242,Yes,1.0,0.09090909090909093,yes,4.0,yes,4.0,yes,3.0,yes,42.0,0.42,yes,52.0,yes,2679.0,yes,376.0,yes
PRV51243,No,,,,,,,,,,22.0,0.6111111111111112,yes,51.0,yes,860.0,yes,352.0,yes
PRV51244,Yes,9.0,0.045,yes,9.0,yes,10.0,yes,17.0,yes,551.0,0.4534979423868313,yes,52.0,yes,3925.0,yes,383.0,yes
PRV51245,No,0.0,0.0,no,,,,,,,72.0,0.4260355029585799,yes,52.0,yes,2839.0,yes,375.0,yes
PRV51247,No,0.0,0.0,no,,,,,,,9.0,0.375,yes,52.0,yes,859.0,yes,358.0,yes
PRV51248,No,0.0,0.0,no,,,,,,,0.0,0.0,no,,,,,,
PRV51249,Yes,4.0,0.0784313725490196,yes,4.0,yes,5.0,yes,8.0,yes,28.0,0.37333333333333335,yes,52.0,yes,1594.0,yes,369.0,yes
PRV51250,No,,,,,,,,,,43.0,0.5058823529411764,yes,52.0,yes,2918.0,yes,375.0,yes
PRV51251,No,,,,,,,,,,3.0,0.2727272727272727,yes,40.0,yes,178.0,yes,152.0,yes
PRV51252,No,1.0,0.05555555555555555,yes,2.0,yes,2.0,yes,2.0,yes,29.0,0.42028985507246375,yes,52.0,yes,1410.0,yes,368.0,yes
PRV51253,No,,,,,,,,,,36.0,0.4235294117647059,yes,52.0,yes,1729.0,yes,370.0,yes
PRV51255,No,0.0,0.0,no,,,,,,,31.0,0.4305555555555556,yes,52.0,yes,2445.0,yes,372.0,yes
PRV51256,No,,,,,,,,,,45.0,0.47368421052631576,yes,52.0,yes,2713.0,yes,374.0,yes
PRV51258,No,0.0,0.0,no,,,,,,,2.0,0.3333333333333333,yes,11.0,yes,14.0,yes,14.0,yes
PRV51259,No,0.0,0.0,no,,,,,,,10.0,0.5882352941176471,yes,51.0,yes,420.0,yes,287.0,yes
PRV51260,No,0.0,0.0,no,,,,,,,23.0,0.3898305084745763,yes,52.0,yes,993.0,yes,368.0,yes
PRV51261,No,1.0,0.038461538461538464,yes,2.0,yes,2.0,yes,2.0,yes,48.0,0.41379310344827586,yes,52.0,yes,2847.0,yes,376.0,yes
PRV51262,No,,,,,,,,,,28.0,0.4666666666666667,yes,52.0,yes,2695.0,yes,371.0,yes
PRV51263,Yes,1.0,0.05555555555555555,yes,2.0,yes,2.0,yes,2.0,yes,10.0,0.38461538461538464,yes,52.0,yes,1424.0,yes,365.0,yes
PRV51264,No,,,,,,,,,,18.0,0.46153846153846156,yes,52.0,yes,1668.0,yes,366.0,yes
PRV51265,No,,,,,,,,,,62.0,0.3875,yes,52.0,yes,2827.0,yes,374.0,yes
PRV51266,No,1.0,0.1,yes,2.0,yes,2.0,yes,2.0,yes,35.0,0.4268292682926829,yes,52.0,yes,2714.0,yes,373.0,yes
PRV51267,No,0.0,0.0,no,,,,,,,6.0,0.5,yes,46.0,yes,295.0,yes,226.0,yes
PRV51271,No,0.0,0.0,no,,,,,,,48.0,0.39669421487603307,yes,52.0,yes,2953.0,yes,374.0,yes
PRV51272,No,0.0,0.0,no,,,,,,,33.0,0.42857142857142855,yes,52.0,yes,1820.0,yes,369.0,yes
PRV51273,No,,,,,,,,,,271.0,0.49005424954792043,yes,52.0,yes,3685.0,yes,381.0,yes
PRV51274,No,1.0,0.1,yes,2.0,yes,2.0,yes,2.0,yes,20.0,0.4166666666666667,yes,52.0,yes,2668.0,yes,371.0,yes
PRV51276,No,0.0,0.0,no,,,,,,,29.0,0.5471698113207547,yes,52.0,yes,2425.0,yes,374.0,yes
PRV51277,No,0.0,0.0,no,,,,,,,20.0,0.40816326530612246,yes,52.0,yes,2485.0,yes,372.0,yes
PRV51279,No,,,,,,,,,,108.0,0.48214285714285715,yes,52.0,yes,3119.0,yes,372.0,yes
PRV51280,No,,,,,,,,,,21.0,0.5384615384615384,yes,52.0,yes,1127.0,yes,370.0,yes
PRV51281,No,,,,,,,,,,102.0,0.3938223938223938,yes,52.0,yes,3133.0,yes,372.0,yes
PRV51282,No,0.0,0.0,no,,,,,,,20.0,0.39215686274509803,yes,52.0,yes,2442.0,yes,373.0,yes
PRV51284,No,2.0,0.1176470588235294,yes,3.0,yes,3.0,yes,3.0,yes,163.0,0.4527777777777778,yes,52.0,yes,3463.0,yes,373.0,yes
PRV51285,No,0.0,0.0,no,,,,,,,69.0,0.45098039215686275,yes,52.0,yes,2872.0,yes,375.0,yes
PRV51286,No,0.0,0.0,no,,,,,,,27.0,0.4909090909090909,yes,52.0,yes,2684.0,yes,371.0,yes
PRV51287,No,,,,,,,,,,30.0,0.38461538461538464,yes,52.0,yes,2629.0,yes,378.0,yes
PRV51288,No,1.0,0.3333333333333333,yes,2.0,yes,2.0,yes,2.0,yes,2.0,0.4,yes,40.0,yes,177.0,yes,156.0,yes
PRV51289,No,,,,,,,,,,44.0,0.4782608695652174,yes,52.0,yes,2857.0,yes,376.0,yes
PRV51290,No,,,,,,,,,,48.0,0.4247787610619469,yes,52.0,yes,2927.0,yes,376.0,yes
PRV51292,No,,,,,,,,,,11.0,0.5,yes,52.0,yes,883.0,yes,363.0,yes
PRV51293,No,,,,,,,,,,34.0,0.38636363636363635,yes,51.0,yes,983.0,yes,364.0,yes
PRV51295,No,,,,,,,,,,3.0,0.42857142857142855,yes,50.0,yes,558.0,yes,329.0,yes
PRV51296,No,0.0,0.0,no,,,,,,,8.0,0.2962962962962963,yes,45.0,yes,237.0,yes,204.0,yes
PRV51297,No,0.0,0.0,no,,,,,,,26.0,0.4,yes,52.0,yes,1257.0,yes,371.0,yes
